Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          26.925733          -82.745569          0.686601                0.599767
1                          98.521708          240.817118          0.068837                0.625549
2                          25.056180          385.128943          0.139688                0.832937
3                          -577.572173          -263.365859          0.511013                0.605891
4                          10.069328          -270.258913          0.239406                0.951218
5                          -179.589848          173.924775          0.324758                0.673722
6                          -6.194493          -26.692868          0.555598                0.453381
7                          -54.835233          228.335356          0.963233                0.126409
8                          323.376873          -0.339120          0.787470                0.263362
9                          -293.219260          309.034866          0.771356                0.372197
10                          30.880176          525.559102          0.735211                0.350709
11                          -112.115680          -433.774994          0.107099                0.984288
12                          -292.449604          -6.576167          0.119908                0.694770
13                          -74.366063          99.503848          0.704268                0.471937
14                          -63.037874          127.783307          0.101275                0.088925
15                          -48.703213          121.216437          0.102368                0.148805
16                          252.544693          341.779921          0.119765                0.740551
17                          94.761453          147.671010          0.664027                0.140042
18                          -596.986956          232.754796          0.844026                0.077181
19                          294.847347          359.314190          0.502133                0.307218
20                          -58.197158          35.656613          0.462043                0.636170
21                          -492.924189          -145.217255          0.076186                0.151546
22                          -302.364312          177.563429          0.046894                0.434703
23                          489.148492          149.829710          0.758748                0.207901
24                          -104.565492          -224.058703          0.565552                0.445547
25                          -41.344449          386.221976          0.110566                0.959151
26                          69.943272          -476.763689          0.337734                0.750011
27                          333.108607          -194.182835          0.750536                0.678205
28                          249.150201          -97.937861          0.904474                0.908128
29                          -35.578154          271.169532          0.300093                0.335355
30                          79.768318          266.770175          0.759297                0.556507
31                          66.104772          342.285085          0.784276                0.297191
32                          -328.827013          -208.583644          0.314867                0.926559
33                          -104.096750          136.075073          0.807264                0.024368
34                          -277.937524          116.506408          0.378899                0.243758
35                          433.352419          -111.586136          0.247333                0.699477
36                          -343.666753          481.714621          0.539703                0.947103
37                          -303.335792          202.021396          0.558235                0.481644
38                          382.565486          -353.080995          0.574993                0.618498
39                          -81.742924          115.347903          0.375617                0.860886
40                          -106.772960          732.257152          0.941631                0.135299
41                          12.012773          -87.723264          0.550876                0.535041
42                          361.913182          -458.187051          0.634111                0.132431
43                          -275.577507          -34.039589          0.054583                0.143550
44                          -219.713834          33.847290          0.821229                0.459412
45                          50.148312          79.543824          0.965686                0.360838
46                          351.863976          -167.894477          0.090107                0.522905
47                          179.441492          -274.891034          0.608943                0.659301
48                          369.155112          401.331358          0.672193                0.000585
49                          396.774730          -24.291015          0.968227                0.159728
50                          -129.872033          138.637360          0.659427                0.590841
51                          -762.059087          150.046470          0.645624                0.414671
52                          -283.756018          -13.438070          0.112864                0.518394
53                          -247.586906          -1.237488          0.283773                0.945220
54                          353.604051          61.706930          0.634582                0.320885
55                          193.448837          139.176858          0.421291                0.073271
56                          -16.546667          -189.785165          0.969135                0.329606
57                          -467.642907          582.529318          0.856569                0.365083
58                          3.973135          -177.929545          0.965761                0.517235
59                          -123.839477          314.628611          0.486145                0.406094
60                          -109.908245          304.825612          0.747650                0.389354
61                          -194.319061          237.882308          0.852922                0.470832
62                          120.650065          316.402191          0.255941                0.975913
63                          -447.058199          -207.149724          0.284238                0.577316
64                          -527.649707          -201.259826          0.795792                0.739572
65                          146.987195          -138.039536          0.801851                0.545610
66                          -57.510161          177.854822          0.170039                0.012747
67                          -9.064616          102.250148          0.033324                0.600671
68                          -706.752597          -379.834229          0.580188                0.803704
69                          -163.194195          -116.183230          0.627305                0.628388
70                          121.520251          32.796513          0.265241                0.800967
71                          -59.376122          -375.952303          0.805893                0.270342
72                          308.362287          -6.306650          0.271306                0.808762
73                          -66.071609          380.771005          0.608280                0.882432
74                          334.317990          185.967748          0.659810                0.221515
75                          -38.577521          95.807362          0.528785                0.907742
76                          -277.674284          -264.302636          0.783734                0.986102
77                          104.303657          -15.407572          0.968311                0.065019
78                          97.086733          -77.022028          0.776026                0.014767
79                          351.265062          128.016280          0.271167                0.798217
80                          -159.818915          -204.772279          0.699330                0.193996
81                          -467.241908          -22.403349          0.864801                0.202243
82                          -223.948577          -23.605900          0.754245                0.595827
83                          -106.764250          -11.012334          0.915691                0.751279
84                          242.588709          170.648147          0.374336                0.811147
85                          -145.297850          437.713114          0.662518                0.609204
86                          -173.882496          341.218628          0.214967                0.849786
87                          -56.574830          -81.491574          0.950634                0.273672
88                          142.350224          224.955617          0.613766                0.532543
89                          17.396343          173.769553          0.569703                0.345916
90                          358.791906          136.286475          0.484253                0.577022
91                          -324.911767          -139.135722          0.303212                0.920358
92                          -311.048538          2.283213          0.983382                0.270981
93                          103.470507          315.074063          0.020186                0.622800
94                          219.592750          -118.694527          0.356399                0.803168
95                          75.070786          -351.954166          0.712462                0.183304
96                          -109.089097          -408.119452          0.514319                0.907265
97                          -397.342321          233.692522          0.697429                0.168185
98                          -200.205901          -91.540947          0.296107                0.764816
99                          -189.415539          57.362392          0.315238                0.536323
100                          85.487676          153.975153          0.624067                0.831168
101                          -161.859214          -382.657199          0.879180                0.955297
102                          370.582913          343.499645          0.891293                0.000155
103                          -8.790354          230.761631          0.198063                0.331377
104                          -253.909164          -199.994642          0.532424                0.107359
105                          286.010017          44.357479          0.656855                0.164918
106                          150.741150          140.549565          0.840476                0.573913
107                          285.741977          -93.727007          0.694552                0.436370
108                          -57.073547          234.282896          0.963000                0.697311
109                          92.881937          -305.273153          0.474293                0.935120
