Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -197.351124          -12.476476          0.226866                0.223204
1                          37.274267          -100.873092          0.343344                0.135263
2                          242.985576          -29.801600          0.339320                0.148820
3                          -349.460248          536.176480          0.586024                0.995012
4                          -399.887830          74.534070          0.299571                0.724021
5                          -351.781957          241.817486          0.754611                0.751742
6                          -169.910379          140.635399          0.000349                0.962752
7                          114.360101          -12.629876          0.758755                0.086680
8                          66.785403          -194.634662          0.884405                0.924845
9                          204.055483          36.022797          0.197908                0.860547
10                          -173.072522          -31.162173          0.246210                0.413105
11                          361.421970          191.865569          0.009444                0.898317
12                          165.367553          71.157782          0.769114                0.737049
13                          308.887545          36.648882          0.568238                0.435273
14                          -392.941466          301.246438          0.734737                0.921782
15                          113.246210          -393.456304          0.716028                0.460519
16                          101.175464          -102.698517          0.483591                0.967970
17                          -105.621929          -113.427266          0.927997                0.245569
18                          -414.428212          319.842458          0.537034                0.572750
19                          17.461788          193.459887          0.514963                0.477915
20                          -222.930264          266.929416          0.094218                0.752751
21                          397.447545          78.558986          0.787085                0.941110
22                          -233.374135          -192.020533          0.584252                0.479687
23                          -166.994373          34.828686          0.194895                0.425473
24                          -52.779661          120.508531          0.150823                0.430418
25                          -142.070841          -50.175917          0.227085                0.756229
26                          318.552373          -68.507816          0.467361                0.822933
27                          207.602079          -288.628047          0.526512                0.664477
28                          -8.492211          448.220988          0.389133                0.669074
29                          -201.007362          -122.507277          0.661189                0.323775
30                          136.324356          -382.409324          0.274767                0.977895
31                          165.810235          27.392225          0.868535                0.347726
32                          -123.018778          53.667357          0.340534                0.115946
33                          -135.413674          33.167141          0.793945                0.591068
34                          -51.728567          -179.877031          0.755474                0.923987
35                          -137.819156          357.116839          0.141160                0.229121
36                          -509.171075          118.521536          0.339086                0.733449
37                          -177.010364          -298.663205          0.295330                0.024576
38                          -252.791725          232.718165          0.329107                0.970509
39                          -127.949365          50.996346          0.133188                0.082959
40                          154.487011          279.393055          0.837423                0.509249
41                          -148.448761          -89.012453          0.227454                0.281323
42                          -217.539125          -73.296823          0.395477                0.061809
43                          -82.119471          90.214070          0.485712                0.098145
44                          286.735590          407.492248          0.273783                0.049487
45                          113.023484          -77.410412          0.159681                0.477494
46                          39.894869          282.613571          0.008828                0.733940
47                          287.436364          -158.010252          0.278020                0.932704
48                          -155.294824          164.433244          0.506948                0.021183
49                          121.008694          63.440493          0.492819                0.844909
50                          -368.382975          -105.370505          0.307477                0.490094
51                          81.113614          -368.070646          0.073977                0.410006
52                          -279.825465          342.302994          0.452171                0.648547
53                          -180.778891          13.694499          0.729936                0.430659
54                          209.439589          -197.896167          0.889947                0.456331
55                          199.583642          -45.111087          0.261144                0.787486
56                          20.463431          -118.082445          0.762551                0.198398
57                          56.550258          -488.131658          0.064184                0.424853
58                          2.856357          -231.380895          0.325521                0.699544
59                          -52.141818          78.043078          0.463672                0.474691
60                          128.043398          238.492065          0.054668                0.450972
61                          4.158250          199.503331          0.711274                0.088679
62                          277.111851          122.384859          0.481347                0.725655
63                          38.455100          21.913540          0.262351                0.888964
64                          203.676501          -88.224698          0.178121                0.184068
65                          -96.629055          69.945765          0.441247                0.268933
66                          81.182741          -520.912516          0.723181                0.207350
67                          -273.443550          -167.177071          0.933410                0.357605
68                          73.910762          32.401816          0.956111                0.283335
69                          293.292038          97.462605          0.574009                0.816313
70                          16.807390          -8.456138          0.014398                0.632234
71                          -49.024432          -318.172965          0.705750                0.466508
72                          545.711596          22.972939          0.969943                0.347908
73                          -29.298533          59.159903          0.891031                0.093041
74                          -395.389581          66.739022          0.448831                0.588365
75                          -278.989223          9.702052          0.279876                0.803415
76                          -77.479997          -96.206329          0.845020                0.874777
77                          153.010405          -26.929243          0.864501                0.687520
78                          -11.683182          18.604692          0.073366                0.761495
79                          -261.903215          67.400514          0.973462                0.316642
80                          161.618598          248.932266          0.919543                0.962847
81                          -411.788537          -23.763635          0.231594                0.415259
82                          -517.946684          37.553765          0.017131                0.728817
83                          69.193118          -66.237857          0.896512                0.573013
84                          -417.638277          -362.902901          0.014898                0.615841
85                          -127.600500          116.249698          0.719835                0.775698
86                          -536.396282          190.155643          0.855070                0.126213
87                          -385.593186          -162.618932          0.817951                0.583098
88                          99.952197          368.903634          0.514948                0.236641
89                          466.759757          -223.969986          0.963529                0.543600
90                          -109.183467          -129.738968          0.514320                0.767447
91                          -23.261877          -194.770952          0.675269                0.988868
92                          -171.945620          588.506897          0.169601                0.205911
93                          -269.932495          252.485142          0.912706                0.561542
94                          -135.671626          -14.615505          0.057913                0.362135
95                          -65.358338          300.967149          0.388755                0.577826
96                          342.019046          -43.354864          0.758111                0.681900
97                          324.670716          305.862140          0.168365                0.270833
98                          246.411578          -211.899096          0.388377                0.452607
99                          -177.761711          44.776500          0.243063                0.110167
100                          -84.503059          49.093248          0.336800                0.157671
101                          98.076082          81.518713          0.844390                0.206713
102                          309.546260          187.617538          0.865043                0.686040
103                          -1.309016          -191.128612          0.975078                0.233514
104                          -181.898842          -47.494958          0.172190                0.599996
105                          179.147026          -230.270164          0.634972                0.781445
106                          -299.407477          24.332093          0.562301                0.278202
107                          -544.184902          -138.693712          0.028237                0.859401
108                          412.976747          -155.421577          0.224077                0.861636
109                          85.582316          -134.924260          0.181086                0.977974
110                          53.565061          3.426624          0.772347                0.243938
111                          -50.906789          176.129198          0.788557                0.900356
112                          -164.561058          136.775846          0.764643                0.353323
113                          -11.527441          -345.503102          0.884596                0.545185
114                          -344.029989          -502.227949          0.967105                0.362019
115                          -362.045786          316.887036          0.991621                0.660677
116                          -368.847617          -251.583426          0.741371                0.798389
117                          -669.912634          -414.609255          0.725769                0.124161
118                          271.258465          188.010745          0.055982                0.744203
119                          122.093332          165.981240          0.476689                0.758357
120                          -11.124600          36.333241          0.278519                0.792727
121                          445.154972          93.063976          0.401437                0.542839
122                          -46.208859          166.219328          0.976740                0.335651
123                          315.346934          -47.303595          0.592677                0.604581
124                          -58.431998          166.650224          0.756379                0.736994
125                          -5.879210          -125.769795          0.915061                0.147997
126                          1.349105          362.251092          0.349786                0.229207
127                          -51.171366          -304.936272          0.850175                0.259054
128                          -392.067115          458.535677          0.793431                0.606664
129                          144.640265          -374.879463          0.890939                0.933498
130                          -24.513531          -321.529598          0.280508                0.814052
131                          439.066824          57.679864          0.370751                0.020223
132                          256.385114          128.170171          0.731596                0.213881
133                          167.030599          -18.984332          0.164006                0.036667
134                          -140.443472          -527.217010          0.380521                0.758052
135                          -113.842639          156.630090          0.467737                0.659730
136                          -71.499275          -204.285019          0.638895                0.148423
137                          21.986526          -57.589561          0.787379                0.320209
138                          -49.662167          -222.100379          0.012183                0.098508
139                          -312.995429          -62.049410          0.672619                0.878374
140                          -69.590529          -7.704275          0.828801                0.929207
141                          386.615013          137.190590          0.084738                0.090927
142                          -13.007728          -47.785445          0.679387                0.866666
143                          -35.406067          -100.608343          0.490124                0.114965
144                          -55.266572          23.486721          0.128786                0.346744
145                          406.497126          166.856900          0.408864                0.219140
146                          -518.276670          -13.848566          0.992933                0.380515
147                          279.853109          4.508433          0.713440                0.572042
148                          200.670372          -73.636778          0.097453                0.426985
149                          301.124431          -395.584463          0.470946                0.341816
150                          -450.334232          -259.574702          0.337444                0.158423
151                          -102.172708          -229.741953          0.447866                0.482243
152                          630.726876          122.932843          0.858308                0.670694
153                          31.804288          28.126346          0.280104                0.931962
154                          -112.934910          84.296048          0.193011                0.997191
155                          87.413369          169.327981          0.564677                0.128015
156                          189.176198          78.166922          0.965373                0.959344
157                          -100.865659          44.657452          0.395168                0.569385
158                          469.853206          417.836762          0.234957                0.293370
159                          15.325226          254.512139          0.144156                0.741530
160                          -175.779848          -273.790921          0.989733                0.323274
161                          -202.893732          182.174309          0.764822                0.868453
162                          262.507541          -482.000486          0.593583                0.565453
163                          42.940913          -42.843360          0.445460                0.071746
164                          35.341254          617.690577          0.048096                0.277973
165                          267.275233          125.031888          0.459782                0.011761
166                          -366.434643          30.075470          0.327611                0.412972
167                          -66.681369          205.583864          0.739489                0.006418
168                          -22.971558          3.567699          0.655695                0.112300
169                          173.499082          -229.912529          0.919995                0.016722
170                          -3.375320          175.168331          0.314019                0.999958
171                          82.262960          -155.020151          0.023713                0.547993
172                          311.117308          -7.495665          0.861009                0.875107
173                          -43.996600          -118.211672          0.644975                0.698857
