Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          26.925733          -82.745569          0.762461                0.366641
1                          98.521708          240.817118          0.346410                0.304024
2                          250.365537          568.985897          0.591151                0.228792
3                          -577.572173          -263.365859          0.883768                0.863887
4                          10.069328          -270.258913          0.267775                0.189794
5                          -179.589848          173.924775          0.818784                0.163736
6                          -6.194493          -26.692868          0.538145                0.378177
7                          -54.835233          228.335356          0.808741                0.769719
8                          470.781862          257.797657          0.030786                0.844224
9                          -293.219260          309.034866          0.945244                0.242868
10                          -119.852760          450.485806          0.482473                0.662205
11                          -112.115680          -433.774994          0.791226                0.762176
12                          7.029017          -160.145282          0.295964                0.676243
13                          -74.366063          99.503848          0.494750                0.752278
14                          -63.037874          127.783307          0.923673                0.448940
15                          -48.703213          121.216437          0.965152                0.490319
16                          252.544693          341.779921          0.831281                0.703477
17                          94.761453          147.671010          0.931007                0.556088
18                          -596.986956          232.754796          0.162082                0.732942
19                          477.151867          -10.001798          0.743730                0.487141
20                          -58.197158          35.656613          0.298079                0.736629
21                          -492.924189          -145.217255          0.687427                0.742413
22                          -302.364312          177.563429          0.195017                0.934968
23                          489.148492          149.829710          0.136869                0.630030
24                          -104.565492          -224.058703          0.270950                0.814287
25                          -41.344449          386.221976          0.994082                0.047288
26                          69.943272          -476.763689          0.534792                0.406783
27                          333.108607          -194.182835          0.689032                0.131116
28                          31.831449          434.020616          0.483972                0.931946
29                          -35.578154          271.169532          0.199856                0.099345
30                          79.768318          266.770175          0.984036                0.308102
31                          66.104772          342.285085          0.970518                0.261541
32                          -328.827013          -208.583644          0.388434                0.338898
33                          -104.096750          136.075073          0.513983                0.407744
34                          -277.937524          116.506408          0.595841                0.572002
35                          433.352419          -111.586136          0.468255                0.385096
36                          -343.666753          481.714621          0.571460                0.304280
37                          -303.335792          202.021396          0.703621                0.050817
38                          382.565486          -353.080995          0.652828                0.623732
39                          -81.742924          115.347903          0.145315                0.185866
40                          -106.772960          732.257152          0.640810                0.198351
41                          28.307489          -44.403284          0.584721                0.287891
42                          289.056672          167.150587          0.612708                0.193904
43                          -275.577507          -34.039589          0.278174                0.047647
