Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          8.613730          15.513604          0.479191                0.949148
1                          9.808335          -64.712502          0.584098                0.419558
2                          -494.534057          469.242542          0.655930                0.425174
3                          -322.103819          401.991033          0.378691                0.624664
4                          184.871416          475.287196          0.328272                0.210829
5                          -30.749125          37.356340          0.610015                0.775539
6                          -211.969153          -551.300795          0.288598                0.748083
7                          -272.960861          -20.529928          0.031801                0.056848
8                          -203.908855          360.474054          0.777744                0.961231
9                          -264.525319          333.622795          0.790444                0.872558
10                          261.161248          295.758972          0.131798                0.547830
11                          -197.571513          174.324141          0.940132                0.428517
12                          -133.155727          213.036504          0.643151                0.736241
13                          -223.119656          80.247662          0.563253                0.877754
14                          -69.542668          106.736341          0.154608                0.687442
15                          -47.392326          -95.525321          0.453448                0.600214
16                          96.665721          -365.190364          0.090431                0.055209
17                          132.057814          795.722498          0.433406                0.254592
18                          -106.045779          -454.772300          0.872470                0.634033
19                          -201.374882          -433.443098          0.387725                0.752546
20                          -120.270217          -85.676613          0.652491                0.931207
21                          -129.915194          -97.896279          0.943962                0.645092
22                          345.159122          584.073520          0.140902                0.502310
23                          -145.062992          -148.488402          0.644005                0.057654
24                          -52.027645          -45.868377          0.282042                0.489607
25                          -135.863645          -12.952149          0.130405                0.273940
26                          0.229464          96.943583          0.242346                0.531926
27                          -28.902307          293.765400          0.144551                0.305506
28                          197.362145          497.855592          0.693889                0.749647
29                          -401.827261          19.055514          0.118237                0.931248
30                          -159.182747          356.546106          0.471438                0.208129
31                          22.508079          31.397549          0.646374                0.862768
32                          226.682507          -322.449269          0.915095                0.453337
33                          -324.929567          -369.078664          0.784331                0.843228
34                          -151.256639          -384.305367          0.217075                0.388568
35                          408.026798          257.806776          0.195604                0.848042
36                          8.208541          126.836666          0.631031                0.312840
37                          -527.242416          -85.950358          0.573756                0.052469
38                          -208.159929          -218.378018          0.731205                0.356189
39                          230.034192          746.295489          0.505511                0.034061
40                          39.941317          -263.628973          0.531118                0.273696
41                          -155.595109          -261.229561          0.637536                0.848270
42                          167.555306          -168.897171          0.017746                0.552172
43                          -87.293346          258.482994          0.616043                0.372190
44                          -14.128837          4.620691          0.665097                0.599579
45                          -41.558506          -316.583178          0.451123                0.607398
46                          -327.756345          369.733664          0.198965                0.674093
47                          588.529787          -17.304569          0.898466                0.479622
48                          -56.196603          -187.522957          0.377678                0.219803
49                          307.664069          -114.110070          0.791671                0.744662
50                          -201.920064          314.385585          0.279508                0.135149
51                          -387.264392          -57.867186          0.594182                0.199906
52                          207.564873          83.780328          0.100633                0.913888
53                          -427.661834          337.157691          0.638079                0.159808
54                          -776.137795          -295.320752          0.267165                0.308373
55                          327.209277          -57.494125          0.249126                0.409458
56                          48.328128          -313.996037          0.606958                0.398689
57                          170.069856          478.474007          0.086967                0.519937
58                          -30.987083          1.122411          0.576183                0.083468
59                          152.668699          -45.017968          0.721083                0.568176
60                          -54.730118          -227.785257          0.966357                0.013488
61                          42.810899          -77.747971          0.516261                0.414212
62                          -118.015301          65.977398          0.373209                0.714552
63                          -390.560627          -43.407830          0.280786                0.657071
64                          246.791811          130.944687          0.142343                0.480427
65                          -145.099937          -14.566465          0.491797                0.157475
66                          -375.271237          41.545285          0.569524                0.153076
67                          42.926244          -21.408009          0.855156                0.397816
68                          -389.991556          -33.603139          0.996060                0.078306
69                          239.931106          386.288382          0.492713                0.639909
70                          300.164892          -144.879243          0.681974                0.197592
71                          -563.897271          -130.279166          0.856628                0.401461
72                          -275.406855          109.183445          0.603765                0.259702
73                          -22.634852          -315.208622          0.144749                0.860763
74                          307.819893          -58.248522          0.658475                0.579619
75                          119.882817          -218.701552          0.948505                0.822951
76                          -41.541299          625.365891          0.318826                0.826506
77                          80.001482          6.464638          0.092141                0.709808
78                          29.727894          373.926580          0.497821                0.761701
79                          159.293236          -322.504191          0.054570                0.275436
80                          107.065983          50.940511          0.514517                0.010246
81                          -14.109585          -105.149840          0.880026                0.055340
82                          -128.094141          -355.948777          0.038002                0.177773
83                          -68.224830          -339.735181          0.664883                0.421405
84                          -466.012403          201.773222          0.399915                0.648053
85                          -10.042779          -432.930003          0.532443                0.459852
86                          208.883035          -12.635413          0.019175                0.282125
87                          69.346911          -309.459256          0.348335                0.054066
88                          -395.316613          -240.334211          0.626781                0.069463
89                          -426.862942          -287.180215          0.003778                0.472392
90                          218.798398          -77.212823          0.339258                0.814270
91                          -91.159828          157.885837          0.416091                0.346568
92                          186.996608          -109.082695          0.949708                0.401439
93                          90.283723          -241.673837          0.742445                0.067925
94                          195.574872          443.560490          0.272908                0.074677
95                          -409.460168          66.590643          0.985658                0.419917
96                          -232.234666          -95.091434          0.125016                0.260521
97                          350.975316          -145.916900          0.308775                0.410482
98                          77.529263          146.620850          0.750434                0.903258
99                          -387.762599          614.112161          0.684936                0.554304
100                          -200.009304          -129.740735          0.932914                0.910106
101                          8.380244          164.439929          0.064771                0.654978
102                          105.487201          215.317029          0.323336                0.804199
103                          -142.671297          -53.526795          0.372891                0.072968
104                          -32.647168          254.153805          0.780254                0.604734
105                          53.582250          91.472225          0.739556                0.066350
106                          -53.134609          -153.434292          0.141713                0.375584
107                          159.201670          56.722452          0.039511                0.674843
108                          503.766261          197.237721          0.386846                0.293640
109                          422.377772          174.034721          0.526813                0.144835
110                          323.866318          119.489409          0.118408                0.571955
111                          -235.816773          -282.698143          0.129193                0.783606
112                          -271.677046          -35.277666          0.832845                0.680544
113                          46.854616          335.031370          0.759472                0.808895
114                          139.765259          342.323533          0.307185                0.939235
115                          -88.401136          60.072696          0.656242                0.691146
116                          -87.553905          308.011480          0.962799                0.336203
117                          1.640231          185.538635          0.058308                0.904354
118                          -399.557578          -376.260942          0.993691                0.401023
119                          -80.599994          -37.120218          0.935598                0.314064
120                          265.198485          -92.232056          0.918316                0.226593
121                          169.430736          -6.546516          0.638337                0.968267
122                          -377.666320          219.519769          0.057180                0.215252
123                          97.457662          -35.698960          0.786978                0.564806
124                          192.020327          166.528510          0.938765                0.817482
125                          115.942393          321.478116          0.828035                0.993922
126                          -4.299589          -155.798374          0.287172                0.292331
127                          -86.506678          383.349905          0.473403                0.475574
128                          -187.104198          176.082223          0.348495                0.588032
129                          92.719518          -185.990559          0.398943                0.528385
130                          273.338145          70.011159          0.149093                0.547683
131                          251.471584          159.242362          0.060526                0.521788
132                          -363.284749          -31.202588          0.905020                0.313803
133                          -71.675726          52.047626          0.498771                0.226869
134                          127.723150          221.849875          0.694261                0.840200
135                          232.097282          -74.583543          0.458373                0.401050
136                          -167.939485          -259.302373          0.122919                0.722091
137                          233.792939          195.016220          0.935468                0.360348
138                          -301.883284          226.435126          0.847389                0.637027
139                          193.530780          -217.378454          0.885599                0.029031
140                          96.338856          -14.620921          0.032858                0.387599
141                          245.523825          -334.349144          0.866038                0.083757
142                          185.031801          -201.567279          0.218289                0.482987
143                          476.715632          55.529189          0.199743                0.282624
144                          -373.956428          231.639569          0.943806                0.408895
145                          -84.809180          127.534992          0.579967                0.055788
146                          79.755943          -29.985043          0.042163                0.787394
147                          341.306253          427.494859          0.751747                0.518410
148                          418.254955          47.055391          0.844876                0.946828
149                          -209.182433          59.353787          0.700430                0.139098
150                          162.074579          -57.715890          0.260040                0.362674
151                          179.638622          -68.257297          0.810758                0.217337
152                          392.329745          -223.227987          0.267197                0.809118
153                          -50.549186          -98.229380          0.648359                0.998345
154                          -124.310737          -72.840382          0.094909                0.387563
155                          -265.242329          203.389430          0.921416                0.801892
156                          -228.297424          -2.437014          0.757409                0.101662
157                          94.506794          -8.728174          0.083221                0.605214
