Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -80.493796          -243.261773          0.019407                0.914362
1                          -61.206257          -149.496423          0.703372                0.067323
2                          379.554097          167.897399          0.667130                0.787002
3                          -488.694233          -67.962476          0.467963                0.644408
4                          -224.251406          -251.357475          0.354820                0.283238
5                          -216.367604          -336.797081          0.549183                0.931143
6                          -175.780880          -61.139954          0.593604                0.177039
7                          267.287323          169.606784          0.009929                0.227581
8                          -362.796494          -122.163043          0.253738                0.475477
9                          50.669652          -836.182185          0.078086                0.931624
10                          156.986289          87.106848          0.349580                0.437423
11                          35.897290          190.367912          0.926662                0.592209
12                          184.958653          -158.650631          0.571315                0.957229
13                          435.992234          -31.032053          0.602857                0.119735
14                          103.762219          176.566015          0.104635                0.055294
15                          380.324979          93.631857          0.880747                0.198351
16                          -216.349181          457.013478          0.954987                0.095945
17                          73.040931          -412.149901          0.154715                0.129981
18                          -604.238068          481.977319          0.036291                0.068444
19                          214.793200          70.693515          0.490161                0.591053
20                          -125.209625          386.492594          0.243424                0.338456
21                          -3.625491          40.740390          0.684257                0.673606
22                          -156.697663          390.507597          0.246769                0.326274
23                          105.732026          -146.657985          0.527646                0.630510
24                          51.186631          162.595915          0.505439                0.470095
25                          15.153468          -268.879260          0.126204                0.020428
26                          -149.238512          66.944972          0.084800                0.063453
27                          -231.430772          252.674876          0.213475                0.984120
28                          89.720580          114.412577          0.479878                0.610265
29                          71.832116          -76.677962          0.638278                0.568175
30                          207.409234          -248.918340          0.351140                0.453227
31                          269.962826          -59.503220          0.734819                0.190691
32                          -104.606270          166.688375          0.547755                0.742055
33                          23.914462          194.887902          0.690319                0.159919
34                          264.064280          -121.547734          0.505551                0.364740
35                          -263.107553          416.110729          0.019223                0.066101
36                          42.444213          42.754351          0.698273                0.973266
37                          -134.196443          197.063266          0.222873                0.822502
38                          -7.304070          -307.736915          0.654526                0.104063
39                          -10.308754          13.214528          0.289492                0.888977
40                          371.608783          990.969094          0.737557                0.260719
41                          38.806090          53.066351          0.582069                0.780517
42                          -11.128319          -260.272551          0.449824                0.272974
43                          182.764527          -96.921503          0.645054                0.603307
44                          -327.000038          419.325086          0.564211                0.382360
45                          280.442791          -42.718667          0.493720                0.906752
46                          450.712062          529.472102          0.599356                0.700114
47                          -107.385536          213.118601          0.736115                0.376850
48                          344.086832          -90.899456          0.514375                0.173830
49                          -308.687360          121.742931          0.158897                0.700830
50                          416.865130          -95.014015          0.937442                0.646451
51                          232.120812          -194.102958          0.889074                0.602274
52                          -236.772831          190.176338          0.771058                0.404593
53                          -68.813405          -349.029367          0.391052                0.608019
54                          -196.110760          -207.108567          0.945312                0.079716
55                          -248.933348          76.043531          0.106195                0.480991
