Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -481.712084          -112.948838          0.916092                0.935996
1                          -183.747738          -143.939672          0.438990                0.186851
2                          14.027617          -341.223628          0.049616                0.899498
3                          -439.642988          246.976206          0.204242                0.623917
4                          372.466013          -156.818549          0.129426                0.220610
5                          25.336688          -485.890318          0.476757                0.362571
6                          -83.495582          182.662126          0.277349                0.078799
7                          -209.261459          -60.391201          0.947288                0.598784
8                          -138.322038          56.155825          0.702005                0.189674
9                          -77.415270          98.772275          0.035350                0.598504
10                          41.987256          3.001047          0.592030                0.703150
11                          -461.506989          257.943999          0.526084                0.216991
12                          -186.379663          -145.645113          0.830486                0.918122
13                          72.713886          -116.995871          0.892088                0.362275
14                          -83.866601          153.914787          0.455193                0.580911
15                          71.522878          -119.751280          0.523271                0.073109
16                          -4.442875          160.555281          0.348036                0.865628
17                          381.830106          -145.600128          0.607426                0.181094
18                          -220.096997          -562.746030          0.048185                0.795564
19                          70.823701          235.547854          0.766904                0.132428
20                          294.702594          12.012481          0.796047                0.846408
21                          -84.159833          105.557408          0.663878                0.531739
22                          21.154590          -526.856408          0.960920                0.887154
23                          -337.716604          33.299203          0.914274                0.535144
24                          -172.995882          20.580365          0.657889                0.699226
25                          -216.926713          -387.896152          0.388168                0.495488
26                          8.085030          -28.219537          0.002950                0.876428
27                          -136.972433          506.176505          0.267168                0.270616
28                          24.390146          -126.741934          0.289934                0.720067
29                          -194.445446          -117.001653          0.570748                0.475531
30                          -206.709290          -304.560750          0.307153                0.443465
31                          -135.069506          -209.278927          0.050476                0.194125
32                          -361.226175          148.848950          0.610344                0.558584
33                          272.136022          725.103440          0.740870                0.206990
34                          324.104825          -185.464459          0.981866                0.386198
35                          -171.476268          -180.570783          0.117311                0.741670
36                          -112.021583          242.092851          0.357237                0.691974
37                          -111.863386          332.695432          0.303919                0.894102
38                          -217.793698          -59.637244          0.916461                0.851422
39                          161.494808          323.206373          0.580106                0.798452
40                          424.820052          -7.587712          0.827177                0.923189
41                          123.969007          174.740394          0.955158                0.042147
42                          133.117448          -167.996531          0.561568                0.896665
43                          -216.131525          5.895163          0.569494                0.795262
44                          -248.786140          -377.447708          0.335569                0.627950
45                          -173.183417          -16.827183          0.762589                0.806038
46                          231.572005          -80.750252          0.583820                0.413892
47                          -586.183534          -109.089603          0.465619                0.949899
48                          518.650401          199.621606          0.173150                0.259444
49                          -3.912316          -279.739527          0.724516                0.686436
50                          383.032822          110.750277          0.172880                0.447478
51                          423.773459          -733.443292          0.918460                0.362639
52                          -29.405419          -84.603662          0.381120                0.215184
53                          -124.273800          71.240942          0.529204                0.651444
54                          -47.511055          112.733836          0.798056                0.220928
55                          -181.856640          -28.288312          0.265014                0.408024
56                          201.811299          -4.049130          0.999966                0.913415
57                          -320.604770          58.954817          0.948788                0.650367
58                          103.819131          -487.002551          0.058502                0.382905
59                          -273.216164          109.380816          0.467152                0.353248
60                          19.951436          -164.049120          0.649657                0.439897
61                          -89.576423          -12.412366          0.065476                0.786358
62                          -351.603642          92.504646          0.048453                0.508233
63                          159.971892          22.124558          0.566003                0.069522
64                          -129.391284          118.428707          0.124714                0.497973
65                          -263.030024          412.623060          0.434235                0.768740
66                          -216.784498          36.544321          0.132798                0.337073
67                          183.653721          489.125548          0.694022                0.562108
68                          -127.837086          207.101044          0.485817                0.849976
69                          112.690190          59.245513          0.783309                0.561476
70                          86.211485          260.184804          0.281746                0.890425
71                          -96.927897          111.558256          0.373847                0.376552
72                          128.447146          -28.831586          0.884542                0.330224
73                          309.370420          -101.678356          0.863359                0.921909
74                          41.328528          6.839214          0.228425                0.837622
75                          -138.221830          -454.945548          0.899173                0.345885
76                          483.048306          114.210077          0.561964                0.133039
77                          -198.808745          -16.965459          0.836831                0.790640
78                          156.827655          -64.327337          0.454907                0.051457
