Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -153.399912          85.652372          0.513805                0.717213
1                          67.041529          47.542960          0.173010                0.495717
2                          339.835616          -210.452523          0.972840                0.330283
3                          -210.001212          88.419329          0.855333                0.186792
4                          468.285501          40.669872          0.602353                0.529929
5                          89.790379          -10.070420          0.870768                0.838351
6                          -73.311335          207.565958          0.041639                0.193498
7                          18.009435          -257.161208          0.864451                0.226249
8                          157.822205          -273.692818          0.574321                0.218140
9                          538.939118          96.161854          0.218704                0.056241
10                          239.927601          -25.927148          0.628816                0.678914
11                          -107.377293          79.269365          0.565777                0.517442
12                          271.366277          375.394947          0.213550                0.518841
13                          135.972526          77.693412          0.237208                0.534188
14                          -48.722838          -215.057693          0.798462                0.651145
15                          309.127300          -114.476660          0.092010                0.020155
16                          -453.744345          147.118690          0.670042                0.067675
17                          -190.011391          -197.665933          0.844241                0.414527
18                          286.151241          -172.360001          0.214434                0.312010
19                          326.152402          68.239797          0.050473                0.320234
20                          -320.998684          -70.352714          0.518872                0.968838
21                          159.072808          -19.823640          0.125552                0.557863
22                          -375.770533          -448.477151          0.720181                0.300939
23                          -335.979038          -102.685576          0.118078                0.321570
24                          -316.667672          -85.217296          0.483625                0.200670
25                          -53.157213          -259.100054          0.989216                0.287118
26                          273.909937          -204.341097          0.776967                0.071716
27                          -348.083330          128.755652          0.896997                0.293735
28                          -286.398942          297.454319          0.065617                0.185361
29                          76.085098          302.228452          0.226554                0.735937
30                          193.157689          16.211897          0.061488                0.013207
31                          50.645258          179.482040          0.079008                0.797806
32                          -44.658340          220.538569          0.217201                0.475602
33                          149.549574          257.490807          0.582121                0.700740
34                          -77.672105          -91.092100          0.750705                0.206140
35                          -38.136197          22.230015          0.959958                0.497980
36                          34.561701          -79.590513          0.310379                0.407251
37                          -154.934568          435.619506          0.344940                0.741325
38                          -127.896924          88.250219          0.221193                0.554989
39                          593.734562          -160.384431          0.049423                0.692259
40                          -23.656839          -373.287920          0.274960                0.676239
