Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -142.286254          109.776918          0.604279                0.532023
1                          251.039799          229.226249          0.834354                0.119809
2                          -119.026755          -1.394560          0.863687                0.492542
3                          133.746416          172.350753          0.349712                0.441113
4                          -132.733341          -482.681078          0.074482                0.323661
5                          8.992911          52.277665          0.463438                0.478034
6                          191.549743          305.230306          0.642884                0.980433
7                          -93.570804          154.749256          0.353331                0.003316
8                          -226.568077          287.219999          0.747480                0.604635
9                          -54.722577          -64.382460          0.308037                0.846585
10                          -52.505810          -116.813263          0.399423                0.584811
11                          -548.712913          419.150133          0.661464                0.289981
12                          -423.500030          -61.854220          0.117609                0.295449
13                          177.867446          95.521279          0.178088                0.474878
14                          232.653796          -26.225361          0.095707                0.062516
15                          -816.488796          -47.940939          0.573369                0.922414
16                          -60.545622          193.146676          0.542461                0.291049
17                          -238.082338          94.646990          0.536426                0.585928
18                          154.795921          -49.451050          0.521067                0.085697
19                          -193.971956          -69.063784          0.046219                0.652805
20                          -293.831971          -139.067707          0.475115                0.097049
21                          -100.977200          -151.001572          0.480719                0.382934
22                          -185.118909          23.969578          0.742352                0.910002
23                          -85.646654          -362.817580          0.817545                0.899657
24                          -196.472155          -233.437990          0.583353                0.174201
25                          -109.220607          -146.030331          0.564975                0.716569
26                          -185.064651          -387.386299          0.345591                0.271620
27                          86.119718          55.847873          0.660475                0.571791
28                          234.383254          -98.199112          0.812128                0.148085
29                          617.265297          -139.247666          0.313894                0.690605
30                          -1.836283          -156.174517          0.662589                0.777895
31                          54.411402          80.050887          0.563685                0.521107
32                          -295.451019          243.520777          0.297490                0.674731
33                          -474.935296          -82.378342          0.859442                0.470768
34                          -200.797792          429.794354          0.321723                0.386455
35                          -42.810615          372.884212          0.707073                0.761794
36                          60.572433          -54.135527          0.811355                0.050637
37                          -280.711148          -203.873137          0.563902                0.158205
38                          -48.516613          388.979574          0.253161                0.126395
39                          -90.269657          497.911845          0.655159                0.069339
40                          18.075379          194.252838          0.910415                0.000259
41                          -52.291218          -210.336522          0.267558                0.963318
42                          -433.753988          -78.879575          0.508009                0.793062
43                          -421.686346          289.279454          0.075814                0.743693
44                          -296.557441          57.088468          0.664433                0.020161
45                          235.661801          -28.375305          0.537447                0.643292
46                          38.528348          39.179086          0.413483                0.268044
47                          -21.898798          -325.441432          0.381141                0.420174
48                          -215.031556          -747.789107          0.521230                0.671805
49                          214.964928          -262.424434          0.512404                0.811737
50                          168.996489          102.704359          0.806319                0.631985
