Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          314.435577          231.333578          0.263184                0.748864
1                          172.801780          134.032227          0.891455                0.963817
2                          -494.534057          469.242542          0.163860                0.045505
3                          -322.103819          401.991033          0.012175                0.586047
4                          184.871416          475.287196          0.390734                0.800506
5                          -30.749125          37.356340          0.765953                0.586094
6                          -541.449568          -435.565968          0.477486                0.152610
7                          -272.960861          -20.529928          0.416067                0.160962
8                          -69.699694          293.820370          0.736203                0.170717
9                          -264.525319          333.622795          0.131931                0.180657
10                          514.925508          -125.620364          0.319441                0.563224
11                          -145.476191          71.012477          0.854012                0.719108
12                          -154.987442          -297.032072          0.404536                0.667755
13                          -176.102678          369.672758          0.641773                0.144625
14                          -69.542668          106.736341          0.507279                0.146150
15                          -47.392326          -95.525321          0.693788                0.084651
16                          96.665721          -365.190364          0.600210                0.907199
17                          132.057814          795.722498          0.763701                0.219246
18                          -106.045779          -454.772300          0.410260                0.940319
19                          -201.374882          -433.443098          0.408957                0.950665
20                          17.872667          104.056163          0.028895                0.044969
21                          -129.915194          -97.896279          0.602801                0.141553
22                          345.159122          584.073520          0.390497                0.540299
23                          242.034123          143.880141          0.993414                0.937310
24                          -52.027645          -45.868377          0.545890                0.722219
25                          -135.863645          -12.952149          0.819410                0.339624
26                          164.093763          -150.824049          0.527010                0.996688
27                          -28.902307          293.765400          0.291124                0.815734
28                          197.362145          497.855592          0.693007                0.224872
29                          -401.827261          19.055514          0.156023                0.834612
30                          -159.182747          356.546106          0.278701                0.399978
31                          -64.230228          -133.336908          0.825480                0.260487
32                          226.682507          -322.449269          0.765521                0.088573
33                          -324.929567          -369.078664          0.432145                0.714936
34                          -151.256639          -384.305367          0.984142                0.337495
35                          408.026798          257.806776          0.126379                0.540627
36                          8.208541          126.836666          0.589403                0.669613
37                          -144.414419          -478.017932          0.521840                0.255720
38                          -43.532773          -142.633291          0.137500                0.164886
39                          230.034192          746.295489          0.338939                0.249374
40                          39.941317          -263.628973          0.328564                0.610637
41                          298.808253          195.081535          0.146375                0.887438
42                          167.555306          -168.897171          0.168023                0.408700
43                          -87.293346          258.482994          0.058734                0.061345
44                          144.944098          -47.366564          0.467847                0.664027
45                          -162.869101          -3.519478          0.208725                0.801651
46                          -213.259448          98.377760          0.406922                0.138626
47                          588.529787          -17.304569          0.913856                0.567378
48                          -56.196603          -187.522957          0.662668                0.170788
49                          307.664069          -114.110070          0.231414                0.323349
50                          -201.920064          314.385585          0.303505                0.540806
51                          -387.264392          -57.867186          0.558115                0.493367
52                          207.564873          83.780328          0.048010                0.489013
53                          -447.274976          205.429798          0.840034                0.672658
54                          -545.982263          -452.327225          0.165691                0.513790
55                          327.209277          -57.494125          0.589750                0.701028
56                          45.082422          323.265381          0.369188                0.554726
57                          138.413259          451.204971          0.331519                0.185645
58                          -30.987083          1.122411          0.733328                0.077776
59                          152.668699          -45.017968          0.946854                0.796476
60                          -54.730118          -227.785257          0.243909                0.168655
61                          42.810899          -77.747971          0.299154                0.808495
62                          -80.724353          -10.432759          0.950687                0.423016
63                          -390.560627          -43.407830          0.261435                0.877205
64                          246.791811          130.944687          0.890788                0.816368
65                          -145.099937          -14.566465          0.227642                0.231346
66                          -375.271237          41.545285          0.472636                0.942388
67                          36.926395          213.728355          0.640845                0.373889
68                          -389.991556          -33.603139          0.973823                0.248718
69                          239.931106          386.288382          0.275951                0.680926
70                          300.164892          -144.879243          0.159748                0.932318
71                          -85.440117          383.000505          0.446720                0.772924
72                          -275.406855          109.183445          0.000436                0.706000
73                          -196.001838          -81.407231          0.421791                0.228307
74                          144.894016          -233.251129          0.739988                0.538528
75                          119.882817          -218.701552          0.340544                0.932052
76                          -41.541299          625.365891          0.529494                0.655089
77                          80.001482          6.464638          0.686429                0.677024
78                          -63.397541          284.626261          0.260638                0.442986
79                          159.293236          -322.504191          0.246747                0.910951
80                          107.065983          50.940511          0.971554                0.751912
81                          -14.109585          -105.149840          0.951580                0.588587
82                          -197.348209          -261.631931          0.999790                0.557732
83                          -68.224830          -339.735181          0.010872                0.144303
84                          -466.012403          201.773222          0.763203                0.624801
85                          -10.042779          -432.930003          0.583373                0.655369
86                          208.883035          -12.635413          0.959867                0.346203
87                          69.346911          -309.459256          0.996656                0.623426
88                          -76.006581          -379.155904          0.012233                0.992276
89                          -426.862942          -287.180215          0.168528                0.928768
90                          218.798398          -77.212823          0.229666                0.205839
91                          22.548736          301.196686          0.622101                0.222872
92                          -78.983871          -163.206489          0.301140                0.015625
93                          90.283723          -241.673837          0.284589                0.293525
94                          164.283773          284.834283          0.298722                0.914688
95                          -409.460168          66.590643          0.062153                0.082216
96                          -232.234666          -95.091434          0.302747                0.742758
97                          350.975316          -145.916900          0.528874                0.150470
98                          77.529263          146.620850          0.357260                0.159700
99                          -387.762599          614.112161          0.651396                0.439958
100                          -200.009304          -129.740735          0.947221                0.568060
101                          8.380244          164.439929          0.022272                0.821054
102                          -32.079641          97.713911          0.165410                0.284504
103                          -142.671297          -53.526795          0.096419                0.344418
104                          -32.647168          254.153805          0.945818                0.315844
105                          -13.591989          115.070803          0.657080                0.535980
106                          -53.134609          -153.434292          0.411175                0.153695
107                          159.201670          56.722452          0.232152                0.387187
108                          25.309106          -316.041950          0.101697                0.582610
109                          422.377772          174.034721          0.384809                0.262253
110                          136.005797          59.042911          0.322827                0.238471
111                          -235.816773          -282.698143          0.325090                0.217253
112                          -271.677046          -35.277666          0.210600                0.859448
113                          46.854616          335.031370          0.521858                0.109851
114                          202.789234          253.685973          0.420831                0.452937
115                          -88.401136          60.072696          0.104551                0.386499
116                          -87.553905          308.011480          0.406811                0.774185
117                          1.640231          185.538635          0.049989                0.963432
118                          -399.557578          -376.260942          0.019967                0.309154
119                          11.966867          -276.709916          0.083548                0.177329
120                          -8.566321          -322.953433          0.881937                0.954342
121                          169.430736          -6.546516          0.779103                0.001466
122                          -247.888170          580.380835          0.314295                0.271967
123                          97.457662          -35.698960          0.292741                0.745846
124                          239.781222          252.669189          0.722763                0.536121
125                          115.942393          321.478116          0.240057                0.363611
126                          -4.299589          -155.798374          0.308977                0.082432
127                          -86.506678          383.349905          0.912104                0.531492
128                          -262.982022          -428.650909          0.682156                0.761849
129                          92.719518          -185.990559          0.928735                0.471598
130                          342.592213          -24.305687          0.450729                0.617799
131                          251.471584          159.242362          0.785239                0.714223
132                          -60.877722          -129.269294          0.895347                0.748332
133                          15.062581          216.782083          0.569010                0.405975
134                          181.304559          -224.140928          0.835195                0.474274
135                          232.097282          -74.583543          0.281339                0.779285
136                          105.825322          -28.580996          0.666070                0.777078
137                          233.792939          195.016220          0.749834                0.371362
138                          -301.883284          226.435126          0.378329                0.488707
139                          193.530780          -217.378454          0.904147                0.131422
140                          96.338856          -14.620921          0.544295                0.461746
141                          -37.950538          327.558677          0.739033                0.168550
142                          149.106654          -174.084505          0.441882                0.381307
143                          476.715632          55.529189          0.782176                0.001019
144                          -255.142101          132.699319          0.706352                0.345683
145                          -84.809180          127.534992          0.010060                0.409020
146                          79.755943          -29.985043          0.637697                0.939457
147                          341.306253          427.494859          0.020881                0.350456
148                          418.254955          47.055391          0.723780                0.708196
149                          -332.666055          87.677596          0.511327                0.327150
150                          162.074579          -57.715890          0.438111                0.655369
151                          138.554897          87.696707          0.061806                0.948354
152                          338.748336          222.762816          0.488919                0.182033
153                          -50.549186          -98.229380          0.904709                0.496495
154                          -124.310737          -72.840382          0.725326                0.756958
155                          -265.242329          203.389430          0.266539                0.770444
156                          -75.352968          241.853679          0.322050                0.261763
157                          -288.321203          383.339400          0.329669                0.882106
158                          74.005262          -180.326032          0.247519                0.146963
159                          195.585429          -9.358422          0.631392                0.286782
160                          -56.300709          35.489338          0.773066                0.101113
161                          86.899513          375.510362          0.817345                0.726688
162                          47.995128          -468.137805          0.090650                0.095373
163                          176.498701          126.652613          0.415333                0.396741
164                          108.078043          39.465879          0.663776                0.144995
165                          156.856066          298.322495          0.009226                0.064964
166                          112.791132          76.406976          0.009168                0.950758
167                          -296.865470          65.905663          0.985016                0.329336
168                          326.007577          -298.088903          0.139940                0.516647
169                          492.215076          301.631844          0.112319                0.714294
170                          -194.668460          -465.280983          0.921608                0.507815
171                          351.445797          217.286894          0.276254                0.307578
172                          -229.908986          -149.321016          0.346120                0.074916
173                          -174.448874          163.644584          0.506331                0.097579
174                          -325.328651          663.524869          0.031885                0.574577
175                          42.271414          -262.565451          0.641756                0.342367
176                          129.980111          196.775777          0.406135                0.044816
177                          430.701743          -167.707218          0.510673                0.080920
178                          331.935523          258.298433          0.723921                0.056257
179                          134.017410          -204.600601          0.668408                0.999161
180                          -291.128623          -194.323432          0.593274                0.315336
181                          4.267040          -198.910564          0.486701                0.793412
182                          -131.505500          193.409148          0.938938                0.646340
183                          14.467692          -219.784770          0.068884                0.010675
184                          77.006702          -153.124138          0.597678                0.949337
185                          187.866236          216.008511          0.968303                0.386491
186                          -250.052161          -267.023679          0.669754                0.111997
187                          -195.595183          -225.439599          0.890258                0.307364
188                          -35.451813          208.349188          0.288859                0.356937
189                          276.021018          -129.293345          0.562875                0.469546
190                          618.861219          130.582271          0.980080                0.452207
191                          -377.387127          -176.240514          0.290835                0.348022
192                          -167.094737          -35.193965          0.198629                0.003319
193                          583.172369          356.745659          0.583091                0.725367
194                          112.275046          113.030049          0.725857                0.305693
195                          370.213290          -23.988816          0.499751                0.995315
196                          251.699872          -166.466511          0.809031                0.612827
197                          -183.456692          -324.873319          0.368156                0.517929
198                          -468.427994          -100.826509          0.425734                0.362020
199                          -286.221622          199.992426          0.245494                0.077239
200                          -132.532534          -76.414609          0.803622                0.468710
201                          308.007089          -427.552664          0.812068                0.461237
202                          161.083115          373.449127          0.024993                0.790367
203                          473.682802          179.200072          0.594089                0.435349
204                          293.149997          -494.969269          0.586500                0.221416
205                          53.906427          266.909507          0.976508                0.605149
206                          -224.013189          -259.401972          0.074519                0.297357
207                          20.859209          18.243016          0.706328                0.754365
208                          32.307125          -345.142645          0.222811                0.047328
209                          -164.460362          183.650089          0.323838                0.526606
210                          -56.707015          -11.536937          0.785549                0.670104
211                          151.669498          -45.559489          0.304822                0.259748
212                          2.684598          -151.534115          0.081809                0.954384
213                          -109.809392          97.903739          0.700890                0.718165
214                          115.228159          239.819440          0.354188                0.481693
215                          -20.710346          -500.849179          0.587949                0.818670
216                          -207.096790          459.065394          0.467204                0.451848
217                          -23.903142          -264.915669          0.674195                0.022794
218                          -1.630136          3.930908          0.138476                0.029691
219                          8.997802          -295.914790          0.217885                0.327420
220                          164.874652          -194.056708          0.099066                0.434558
221                          -83.036569          92.759273          0.520574                0.509945
222                          453.718438          172.284451          0.018133                0.939086
223                          90.895841          -215.420135          0.604053                0.601583
224                          -634.396932          -165.569468          0.327807                0.643233
225                          153.309752          107.074893          0.627899                0.152874
226                          -178.380735          39.698357          0.016658                0.594027
227                          -149.686648          47.320787          0.581052                0.806282
228                          396.949272          64.739920          0.814666                0.081222
229                          80.708539          129.372364          0.246395                0.222688
230                          -28.292088          -15.586023          0.736638                0.398482
231                          -742.369128          -387.332039          0.712438                0.652347
232                          22.152868          -313.824309          0.246865                0.516813
233                          119.435087          149.589627          0.805898                0.051171
234                          -87.508002          107.921896          0.535508                0.748720
235                          -134.555717          -135.552291          0.540655                0.806701
236                          52.056597          65.108783          0.082264                0.697305
237                          -133.982922          -234.263909          0.611616                0.262309
238                          179.969265          -178.280845          0.148947                0.474087
239                          -198.333823          304.673241          0.659509                0.968179
240                          47.381174          203.271386          0.775338                0.891876
241                          -70.473812          36.544948          0.795949                0.628053
242                          144.190801          175.157054          0.979969                0.772029
243                          -535.445705          -216.863476          0.849098                0.429831
244                          -193.625606          267.980647          0.072607                0.956322
245                          19.137764          -87.904612          0.582407                0.882514
246                          -174.943880          153.452580          0.363191                0.923492
247                          -163.351015          166.082745          0.367810                0.775544
248                          -418.686732          109.109598          0.345483                0.194922
249                          305.304249          -188.110872          0.052628                0.159671
250                          -180.371734          73.873498          0.278572                0.912302
251                          -214.947204          393.027725          0.268180                0.460437
252                          -244.189044          -102.724033          0.869593                0.278580
253                          -55.089336          146.455731          0.823928                0.527933
254                          -75.196239          359.718723          0.539642                0.162498
255                          -48.018613          -465.542460          0.371686                0.186456
256                          -152.871569          -0.174427          0.938011                0.448628
257                          125.088401          -140.951136          0.695940                0.681490
258                          -515.106688          71.020547          0.732372                0.687928
259                          249.027738          333.057241          0.042255                0.432446
260                          -18.502309          204.015565          0.756458                0.851696
261                          -119.502194          -482.831798          0.102760                0.892135
262                          107.080406          2.380193          0.242673                0.478760
263                          87.878866          -113.158664          0.408942                0.091148
264                          -142.075793          -48.965606          0.292660                0.698366
265                          -79.310640          12.809928          0.397604                0.778759
266                          308.476079          -122.144580          0.359023                0.230019
267                          -89.233803          241.477365          0.327902                0.660962
268                          99.371750          36.528110          0.351502                0.795982
269                          115.537993          -52.430048          0.565129                0.670022
270                          -89.848977          -263.126914          0.839553                0.290456
271                          45.988872          436.970855          0.554866                0.988166
272                          -22.448945          214.002586          0.259723                0.289678
273                          166.984724          -16.985543          0.538081                0.399134
274                          87.706932          142.060927          0.682564                0.437935
275                          -152.063899          398.822215          0.935537                0.959599
276                          -566.750557          -11.481127          0.233726                0.513766
277                          -447.277908          13.624568          0.871604                0.668663
278                          -45.565017          137.423723          0.784111                0.635009
279                          -9.485140          222.204916          0.274908                0.739293
280                          -201.052005          297.576305          0.161921                0.391680
281                          193.184179          199.561834          0.559495                0.466386
282                          77.375899          -160.228051          0.768798                0.672452
283                          -129.611544          -488.418413          0.822566                0.370577
284                          -137.705405          210.775941          0.530227                0.605472
285                          -380.025715          -262.589344          0.030072                0.409209
286                          -353.916522          145.051009          0.911655                0.460348
287                          -352.475693          -145.692554          0.855626                0.127024
288                          -339.381701          12.786297          0.081712                0.398821
289                          294.667133          -143.797401          0.310500                0.165046
290                          183.818041          189.817654          0.230873                0.555330
291                          24.922230          240.262816          0.038235                0.935883
292                          -163.481100          426.397943          0.452955                0.658546
293                          204.578633          -283.823137          0.839127                0.468027
294                          128.516875          29.596181          0.536299                0.287307
295                          57.581137          -275.228637          0.473134                0.395908
296                          -275.134511          -92.963367          0.414435                0.943471
297                          -181.886787          285.245413          0.311308                0.572827
298                          141.843113          -211.646253          0.143485                0.004036
299                          181.574416          -205.102397          0.500460                0.391489
300                          -375.379939          37.489030          0.697380                0.587687
301                          21.356175          -292.565411          0.407207                0.316270
302                          163.545542          225.261245          0.441919                0.884527
303                          431.399941          207.211546          0.883607                0.897203
304                          -190.272883          269.787533          0.068703                0.541400
305                          -195.036022          -166.944630          0.858058                0.507227
306                          397.615964          41.686934          0.028594                0.330358
307                          236.607703          165.494946          0.444022                0.675899
308                          -69.660982          -166.871576          0.402831                0.573100
309                          -161.655266          42.824343          0.017501                0.096702
310                          -57.771134          24.230701          0.553512                0.879079
311                          -14.959613          412.506101          0.376737                0.248000
312                          -269.305396          49.862291          0.527925                0.792117
313                          109.143517          147.856872          0.000391                0.185015
314                          96.411184          235.081635          0.175429                0.702883
315                          -40.367365          33.956878          0.014854                0.660351
316                          256.345343          -540.279358          0.820824                0.800406
317                          82.497963          225.174862          0.136254                0.155854
318                          -98.567176          -425.661341          0.260209                0.508833
319                          -296.260417          2.469511          0.979460                0.509633
320                          117.622321          29.117125          0.899652                0.239670
321                          8.667446          62.455487          0.907750                0.437511
322                          -220.234579          94.880968          0.757811                0.297771
323                          93.961169          9.642454          0.382671                0.342461
324                          -23.336618          568.002953          0.266653                0.748290
325                          112.954746          -393.526603          0.109413                0.222577
326                          54.953028          -37.910110          0.907596                0.486766
327                          59.820481          -69.045718          0.539539                0.413606
328                          222.258949          -59.789977          0.395644                0.157735
329                          -290.663980          136.985185          0.400260                0.062805
330                          135.312022          579.010734          0.124613                0.892519
331                          -237.832913          547.727298          0.297858                0.764405
332                          237.005292          -159.827246          0.251409                0.822024
333                          -223.669946          -50.639254          0.436102                0.268589
334                          -194.694017          -90.369122          0.635866                0.927530
335                          -80.099397          -122.984203          0.750911                0.674303
336                          160.516815          -27.157959          0.665808                0.189052
337                          -293.765566          -91.402264          0.063347                0.925122
338                          -264.862646          435.404690          0.075369                0.942787
339                          205.632487          160.495629          0.234490                0.489421
340                          130.594641          93.568462          0.522967                0.531505
341                          99.350123          94.132013          0.001766                0.862017
342                          307.954614          -11.595526          0.386719                0.123447
343                          -104.547855          303.651470          0.877040                0.121545
344                          -46.816493          -169.878633          0.837831                0.393769
345                          159.540711          112.291245          0.210121                0.719694
346                          130.742315          31.879372          0.973238                0.929406
347                          311.853628          -593.214002          0.094606                0.783404
348                          -445.378518          164.880647          0.718556                0.989308
349                          610.705081          -85.485642          0.855870                0.127104
350                          -90.583519          -27.006149          0.611543                0.907153
351                          -100.247614          46.862088          0.126821                0.551295
352                          156.139419          -306.959276          0.634872                0.209903
353                          168.324396          -204.226230          0.654784                0.435545
354                          378.279762          96.830773          0.730619                0.011512
355                          -17.071486          -11.665849          0.417878                0.310445
356                          113.232636          -328.881322          0.912828                0.268182
357                          -269.394531          -396.063413          0.883477                0.434584
358                          138.966902          7.546390          0.478343                0.257041
359                          105.952946          -167.781640          0.700842                0.348475
360                          -275.856889          -178.173185          0.666749                0.632027
361                          278.784528          201.417271          0.700932                0.884028
362                          -285.249523          -128.469444          0.074581                0.718168
363                          196.254080          80.100710          0.835973                0.812472
364                          48.256627          233.461981          0.428898                0.310470
365                          103.000803          103.110847          0.890144                0.500635
366                          -113.951022          -364.922560          0.800418                0.745390
367                          -583.627425          -239.712258          0.985612                0.870020
368                          83.606397          128.137423          0.935585                0.035329
369                          283.835560          -136.738729          0.088150                0.399241
370                          -28.014677          123.543357          0.753644                0.257873
371                          247.101758          58.694601          0.113354                0.707879
372                          -287.223357          -211.435104          0.584317                0.740645
373                          -217.262822          229.501941          0.672722                0.170503
374                          -262.217576          216.146114          0.937281                0.614857
375                          -1.611604          -144.826174          0.961865                0.831571
376                          90.833783          18.575141          0.068744                0.501941
377                          211.431549          442.452352          0.324256                0.256118
378                          -70.341819          -242.006283          0.949653                0.794142
379                          -126.870169          79.112636          0.458958                0.764378
380                          93.838098          -95.842607          0.556521                0.146048
381                          244.653148          -166.965813          0.827899                0.439710
382                          -64.761166          290.449812          0.318458                0.401675
383                          -253.459055          -218.577790          0.907348                0.568044
384                          -367.710023          430.949523          0.256590                0.707044
385                          641.182459          240.997642          0.455601                0.499534
386                          251.931643          244.076660          0.169720                0.520023
387                          167.339307          -34.858255          0.119475                0.968753
388                          -341.412885          16.294595          0.524043                0.169554
389                          -185.004157          -458.499289          0.660729                0.842561
390                          -234.090251          247.302163          0.729876                0.077654
391                          393.719354          -591.090562          0.769881                0.657543
392                          -61.646721          -406.883893          0.989865                0.717494
393                          7.761232          -291.058171          0.774028                0.240535
394                          -156.696981          -391.714799          0.297469                0.347696
395                          -37.958174          133.186859          0.889538                0.293452
396                          223.223660          -200.749717          0.150090                0.429718
397                          -104.395747          -99.313264          0.670756                0.215882
398                          -121.838726          -349.609916          0.818460                0.001457
399                          265.706476          -33.842320          0.455582                0.155134
