Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          43.955011          -132.056710          0.520798                0.480847
1                          -4.061637          -254.838508          0.169312                0.329555
2                          100.403694          -330.070102          0.183891                0.393111
3                          -371.234218          -39.934322          0.679711                0.341042
4                          -302.761842          231.255730          0.238120                0.685685
5                          447.494690          396.029176          0.616489                0.206286
6                          234.480916          -106.049786          0.396023                0.852958
7                          -316.730203          341.964017          0.578296                0.824382
8                          -315.065875          264.812490          0.548376                0.473315
9                          -293.219260          309.034866          0.997234                0.511700
10                          259.699438          -364.087357          0.219233                0.017977
11                          -130.458486          60.338542          0.475692                0.990878
12                          86.983584          397.887321          0.835624                0.168570
13                          -241.492392          -143.335138          0.655586                0.006602
14                          -238.363641          20.454579          0.425935                0.315944
15                          -48.703213          121.216437          0.977198                0.949218
16                          461.764524          322.125643          0.449928                0.484156
17                          94.761453          147.671010          0.853261                0.551623
18                          -58.734941          -203.539152          0.634410                0.308371
19                          -14.598605          -44.243454          0.664318                0.744009
20                          -58.197158          35.656613          0.117538                0.459930
21                          -287.415722          377.304416          0.478546                0.298137
22                          136.585935          370.137819          0.832202                0.983551
23                          625.245417          225.507419          0.836289                0.495640
24                          -137.290499          212.316969          0.080769                0.686936
25                          238.597951          -365.187274          0.015209                0.290483
26                          13.238104          254.224683          0.931138                0.916198
27                          81.756498          -310.489269          0.313155                0.667792
28                          -61.755966          -192.608097          0.705850                0.202675
29                          241.981061          103.640734          0.042130                0.656084
30                          79.768318          266.770175          0.602151                0.719587
31                          673.338025          -62.580559          0.575402                0.380861
32                          -74.945123          -173.238965          0.865363                0.545889
33                          293.752341          -114.840741          0.083139                0.474646
34                          -233.185097          -195.132618          0.840419                0.789300
35                          -156.857868          127.835144          0.928612                0.661184
36                          -573.476017          439.625397          0.543274                0.723780
37                          -366.416822          515.486440          0.555142                0.094515
38                          268.924057          -447.375905          0.739637                0.915931
39                          -81.742924          115.347903          0.487144                0.525720
40                          -297.021762          1.526685          0.899062                0.935355
41                          45.638509          -80.873272          0.137934                0.681418
42                          462.337945          180.170817          0.482794                0.119408
43                          12.657117          -331.051861          0.428002                0.745543
44                          -370.702600          -306.310287          0.631897                0.759445
45                          196.404307          -33.050097          0.372494                0.806962
46                          -114.530955          -340.258591          0.219073                0.644109
47                          380.104101          270.641067          0.469479                0.316533
48                          300.652098          74.723517          0.220805                0.012873
49                          -172.159250          -248.660749          0.891005                0.417256
50                          -171.420634          57.468614          0.701592                0.641044
51                          -405.003419          -363.755001          0.460371                0.959366
52                          280.127556          -12.470781          0.949062                0.229197
53                          -96.853969          73.835808          0.961261                0.608715
54                          53.261342          129.002212          0.557420                0.921975
55                          120.725118          219.058003          0.726546                0.468661
56                          -16.546667          -189.785165          0.586864                0.945079
57                          125.843765          447.602963          0.631322                0.330915
58                          -169.276017          -71.288676          0.903490                0.307076
59                          4.806111          176.068590          0.268649                0.884434
60                          -308.449940          269.369189          0.872865                0.371676
61                          -374.190818          6.162182          0.422975                0.633746
62                          120.650065          316.402191          0.043269                0.285620
63                          -220.549568          -66.893496          0.146853                0.767404
64                          -533.775366          -211.042586          0.318066                0.803314
65                          319.048782          -109.619455          0.075749                0.997104
66                          -57.510161          177.854822          0.841406                0.121652
67                          148.128538          191.097975          0.967358                0.264522
