Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -481.712084          -112.948838          0.844583                0.981334
1                          -183.747738          -143.939672          0.885924                0.970249
2                          -34.317177          -275.248641          0.086456                0.126947
3                          -439.642988          246.976206          0.488308                0.711400
4                          372.466013          -156.818549          0.277570                0.895154
5                          252.127581          -260.995880          0.352197                0.903145
6                          -83.495582          182.662126          0.571631                0.622689
7                          -209.261459          -60.391201          0.178576                0.088348
8                          -138.322038          56.155825          0.532884                0.664312
9                          -27.595965          -78.055502          0.381024                0.433343
10                          -62.708410          416.206237          0.113679                0.187458
11                          -461.506989          257.943999          0.625352                0.397176
12                          -186.379663          -145.645113          0.255174                0.687106
13                          72.713886          -116.995871          0.506677                0.373407
14                          113.871141          166.992149          0.998308                0.381152
15                          189.016590          -142.783729          0.054665                0.879256
16                          -4.442875          160.555281          0.310484                0.222668
17                          138.430578          -221.390635          0.737516                0.608808
18                          -220.096997          -562.746030          0.187889                0.039142
19                          391.737036          -38.615973          0.644619                0.679449
20                          -376.835121          -146.940685          0.773336                0.589673
21                          -84.159833          105.557408          0.952545                0.423928
22                          364.357021          -422.189067          0.719883                0.611010
23                          -337.716604          33.299203          0.059838                0.816595
24                          96.574543          30.831100          0.829914                0.992393
25                          -425.091373          -54.728856          0.815694                0.156592
26                          8.085030          -28.219537          0.071286                0.637912
27                          -136.972433          506.176505          0.109454                0.548902
28                          268.654205          126.299307          0.459545                0.646905
29                          -184.400514          -188.137635          0.938583                0.406446
30                          18.874171          -126.407068          0.449791                0.571967
31                          -135.069506          -209.278927          0.908846                0.425266
32                          -184.821599          -188.964256          0.065448                0.754815
33                          272.136022          725.103440          0.041008                0.335683
34                          324.104825          -185.464459          0.721253                0.818622
35                          -171.476268          -180.570783          0.667966                0.215456
36                          218.434856          -86.787162          0.770002                0.835391
37                          -251.595029          112.772552          0.571075                0.466883
38                          -217.793698          -59.637244          0.075633                0.347359
39                          161.494808          323.206373          0.945086                0.530245
40                          424.820052          -7.587712          0.417826                0.859056
41                          123.969007          174.740394          0.002965                0.519081
42                          133.117448          -167.996531          0.686698                0.476731
43                          -216.131525          5.895163          0.742715                0.845089
44                          -248.786140          -377.447708          0.232787                0.437700
45                          -173.183417          -16.827183          0.298815                0.663812
46                          231.572005          -80.750252          0.541105                0.731378
47                          -634.182431          207.611255          0.375868                0.920125
48                          733.370688          7.015301          0.008749                0.644326
49                          -3.912316          -279.739527          0.691448                0.322032
50                          383.032822          110.750277          0.410336                0.383558
51                          662.757728          183.526335          0.442898                0.780299
52                          -29.405419          -84.603662          0.132581                0.500100
53                          -124.273800          71.240942          0.478821                0.253584
54                          273.220517          300.644991          0.480835                0.809075
55                          348.315778          -39.074980          0.612457                0.659243
56                          201.811299          -4.049130          0.705708                0.879191
57                          -320.604770          58.954817          0.238984                0.148663
58                          103.819131          -487.002551          0.935998                0.266679
59                          -271.879648          28.856801          0.157884                0.277752
60                          19.951436          -164.049120          0.818290                0.053327
61                          89.693511          62.071959          0.520537                0.185090
62                          -351.603642          92.504646          0.076642                0.290097
63                          -210.830044          -382.670989          0.176685                0.788954
64                          -129.391284          118.428707          0.031078                0.498952
65                          -263.030024          412.623060          0.211063                0.256298
66                          -296.464536          0.389886          0.716827                0.381113
67                          -162.276892          186.434795          0.712280                0.479005
68                          -127.837086          207.101044          0.405317                0.600428
69                          112.690190          59.245513          0.735785                0.062229
70                          86.211485          260.184804          0.010419                0.089550
71                          -96.927897          111.558256          0.554597                0.319461
72                          138.650994          -239.518873          0.004696                0.374229
73                          183.282925          83.094785          0.869902                0.708693
74                          -91.314321          152.191016          0.353517                0.141136
75                          -138.221830          -454.945548          0.730900                0.500610
76                          -80.974664          -3.736676          0.090798                0.266759
77                          -198.808745          -16.965459          0.156467                0.647246
78                          156.827655          -64.327337          0.780440                0.507752
