Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          85.686009          -277.480527          0.376300                0.792391
1                          157.927455          287.682796          0.730441                0.865314
2                          129.992156          -52.340515          0.692416                0.701062
3                          -134.441468          -65.615018          0.863918                0.578373
4                          -46.183597          -160.384522          0.353692                0.860298
5                          -158.780159          226.418492          0.931723                0.353406
6                          205.066095          -34.181111          0.033621                0.028648
7                          261.983818          114.646831          0.988843                0.269011
8                          -66.448346          -244.795257          0.118058                0.697723
9                          253.848354          142.247274          0.637124                0.200894
10                          -149.489212          226.829589          0.273407                0.623885
11                          -50.435858          230.520542          0.931499                0.103255
12                          75.714431          -158.624003          0.970860                0.567766
13                          41.517563          90.444310          0.227804                0.447948
14                          106.587875          -195.549529          0.330999                0.138055
15                          111.143130          68.630958          0.415382                0.129828
16                          27.004434          -80.068065          0.985250                0.072831
17                          243.435226          -69.007973          0.646878                0.452789
18                          25.471977          55.261540          0.995010                0.491582
19                          -411.614040          290.714726          0.824970                0.907731
20                          -105.229684          59.090928          0.300875                0.997491
21                          383.812453          -108.592008          0.560860                0.231058
22                          -331.856642          79.653836          0.183150                0.318478
23                          -302.827328          399.039107          0.197988                0.628144
24                          171.811766          22.919622          0.738320                0.949826
25                          124.714569          -142.824744          0.318237                0.769366
26                          -85.701696          -129.449970          0.763759                0.225338
27                          54.987693          -75.484122          0.964965                0.482488
28                          -277.802859          -83.151509          0.726449                0.913052
29                          397.119942          -77.074541          0.874456                0.652030
30                          -10.524546          -91.970430          0.804437                0.798164
31                          310.207924          146.885411          0.968498                0.599426
32                          -174.121749          -485.554249          0.105639                0.733651
33                          96.860741          -547.554003          0.290177                0.359786
34                          -266.965944          313.755800          0.986785                0.757890
35                          -130.455010          -95.886995          0.383900                0.334248
36                          -194.817555          267.265368          0.653181                0.977974
37                          -559.138651          367.356473          0.725694                0.385172
38                          -69.986394          506.639724          0.197663                0.967061
39                          -16.911197          639.696448          0.662922                0.381700
40                          -398.034222          -176.855712          0.807889                0.958984
41                          41.221620          -143.041444          0.312575                0.578323
42                          166.851922          149.757850          0.174749                0.431320
43                          -247.531602          420.584625          0.814433                0.241192
44                          -235.809115          -57.247740          0.481478                0.134369
45                          -267.411420          129.933827          0.233708                0.525779
46                          -31.485796          207.888388          0.816122                0.978403
47                          -101.844387          -371.636221          0.417747                0.073754
48                          78.293185          -235.326662          0.755160                0.512446
49                          140.195991          308.308816          0.049379                0.928974
50                          232.973398          -156.415478          0.809914                0.274981
51                          -10.039915          -351.546085          0.753145                0.468177
52                          101.043204          -16.658738          0.932683                0.807715
53                          -253.122460          275.797927          0.987531                0.933757
54                          142.843726          -85.041554          0.487244                0.479165
55                          -100.423655          136.802710          0.753919                0.660644
56                          -220.232070          -153.245347          0.559439                0.749151
57                          -26.487439          190.781346          0.429378                0.907563
58                          -15.326470          -159.821913          0.942761                0.550150
59                          -414.404412          54.479056          0.175658                0.942442
60                          32.728307          -111.958608          0.260690                0.884803
61                          281.448674          -96.704875          0.911030                0.012923
62                          166.443153          -200.305487          0.993689                0.685385
63                          -395.948166          -348.196392          0.822842                0.056462
64                          -93.513254          87.296258          0.833992                0.332404
65                          469.362351          -2.376262          0.069627                0.678206
66                          128.254193          -134.552413          0.282382                0.429799
67                          -311.907301          161.156909          0.617138                0.790469
68                          -415.919505          -142.926718          0.564578                0.865194
69                          -101.057266          -498.974063          0.579805                0.019658
70                          -397.056191          -2.475745          0.055222                0.655951
71                          -83.987143          -405.520036          0.766752                0.570308
72                          168.137752          82.541592          0.167265                0.435630
73                          -292.950807          -104.640696          0.828096                0.334638
74                          47.425204          -24.192120          0.484181                0.106785
75                          -427.297765          545.639047          0.358705                0.587513
76                          504.982256          59.103520          0.104279                0.663037
77                          600.933231          -261.878434          0.439293                0.449589
78                          -215.820065          293.597765          0.030826                0.402092
79                          629.830762          -393.921757          0.003703                0.343951
80                          157.496819          494.701513          0.200175                0.477860
81                          -252.095499          -38.363979          0.094523                0.374471
82                          -154.953519          62.409594          0.419477                0.669083
83                          75.099205          -74.429550          0.188164                0.375673
84                          411.689314          -294.086662          0.828107                0.917415
85                          10.725639          384.032767          0.164599                0.672772
86                          112.926381          548.530270          0.378265                0.849916
87                          -195.004750          432.890608          0.632422                0.900656
88                          -449.006979          81.653455          0.801210                0.804937
89                          87.036656          14.095336          0.949808                0.651550
90                          145.889357          -71.492629          0.325036                0.226808
91                          -115.279286          257.808610          0.502635                0.526639
92                          -185.829696          -439.088310          0.125920                0.288460
93                          -228.077046          -75.059221          0.129877                0.074087
94                          237.895535          -214.974909          0.062866                0.902906
95                          -157.093908          -77.671588          0.406131                0.726067
96                          -195.288100          -107.574643          0.723515                0.411844
97                          -236.735051          95.285893          0.254330                0.027205
98                          358.109572          -207.374396          0.633125                0.848273
99                          251.980251          -48.343488          0.457416                0.300350
100                          -276.924978          27.377874          0.842912                0.962218
101                          -181.830120          140.568435          0.814040                0.808315
102                          32.537430          119.082104          0.717756                0.103561
103                          -152.984504          108.715250          0.782979                0.104877
104                          232.929674          -239.012394          0.158225                0.683486
105                          484.278385          -413.425723          0.081405                0.367307
106                          51.002057          -182.557302          0.375494                0.621763
107                          -232.578892          246.024055          0.776408                0.611028
108                          -290.946694          -221.859154          0.403104                0.318256
109                          -243.763581          240.070450          0.263839                0.451839
110                          -189.354833          135.580166          0.294436                0.928952
111                          243.286536          -321.009351          0.617724                0.741974
112                          -100.091797          -128.856243          0.985745                0.323621
113                          -266.132936          -0.101783          0.490085                0.173618
114                          -148.170953          -186.025204          0.502555                0.814771
115                          131.850007          198.281456          0.606372                0.300996
116                          94.459185          -13.024912          0.533602                0.799990
117                          269.430463          116.748004          0.089722                0.531994
118                          -265.091845          60.295001          0.207604                0.223453
119                          -294.361243          -125.744314          0.706962                0.923642
120                          322.267099          -254.808444          0.558949                0.639588
121                          659.696546          -142.053149          0.581479                0.483572
122                          441.322645          -141.998337          0.629066                0.780942
123                          388.908665          48.836194          0.913359                0.900519
124                          -6.458536          400.464858          0.836124                0.011656
125                          208.790981          -84.272087          0.297262                0.910019
126                          -300.553667          -34.432142          0.215540                0.479627
127                          126.088075          221.747807          0.925819                0.491459
128                          -9.669419          274.897782          0.753516                0.633104
129                          -37.872678          -115.652779          0.122530                0.428636
