Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -142.286254          109.776918          0.085330                0.160882
1                          251.039799          229.226249          0.985622                0.344826
2                          109.927304          273.856281          0.492038                0.566671
3                          133.746416          172.350753          0.897534                0.858418
4                          -132.733341          -482.681078          0.523235                0.955541
5                          8.992911          52.277665          0.433034                0.301291
6                          191.549743          305.230306          0.995280                0.948490
7                          -93.570804          154.749256          0.669681                0.480129
8                          -226.568077          287.219999          0.513477                0.633583
9                          -54.722577          -64.382460          0.493047                0.064254
10                          -52.505810          -116.813263          0.576938                0.979741
11                          -548.712913          419.150133          0.516588                0.872891
12                          175.275446          289.499693          0.874613                0.108609
13                          177.867446          95.521279          0.576742                0.151933
14                          232.653796          -26.225361          0.309136                0.151181
15                          -816.488796          -47.940939          0.333808                0.084496
16                          -60.545622          193.146676          0.747158                0.638046
17                          -238.082338          94.646990          0.341350                0.265939
18                          154.795921          -49.451050          0.997723                0.252884
19                          77.884795          34.014452          0.936087                0.595889
20                          -293.831971          -139.067707          0.468521                0.567218
21                          -100.977200          -151.001572          0.822109                0.893450
22                          -108.851214          -130.429526          0.196313                0.176966
23                          -85.646654          -362.817580          0.107105                0.126295
24                          -196.472155          -233.437990          0.247598                0.963424
25                          -109.220607          -146.030331          0.934235                0.210278
26                          29.458626          292.191992          0.245996                0.283758
27                          86.119718          55.847873          0.369316                0.382977
28                          234.383254          -98.199112          0.019709                0.480083
29                          617.265297          -139.247666          0.227003                0.161382
30                          -1.836283          -156.174517          0.668797                0.305900
31                          54.411402          80.050887          0.379728                0.250466
32                          -295.451019          243.520777          0.296370                0.851420
33                          -474.935296          -82.378342          0.465134                0.749278
34                          -200.797792          429.794354          0.000593                0.933378
35                          -42.810615          372.884212          0.851810                0.501123
36                          -255.846691          -223.402845          0.498043                0.710554
37                          -280.711148          -203.873137          0.512949                0.847472
38                          -48.516613          388.979574          0.417189                0.811307
39                          -288.678917          412.295859          0.295746                0.530694
40                          18.075379          194.252838          0.849305                0.343516
41                          -52.291218          -210.336522          0.444348                0.674438
42                          -433.753988          -78.879575          0.974473                0.059743
43                          -432.605403          174.023950          0.526089                0.025454
44                          -296.557441          57.088468          0.667054                0.827152
45                          -78.921295          -99.651324          0.804269                0.980200
46                          38.528348          39.179086          0.283224                0.135585
47                          -21.898798          -325.441432          0.455178                0.520448
48                          -215.031556          -747.789107          0.248223                0.199980
49                          114.570780          -193.932013          0.900740                0.490960
50                          168.996489          102.704359          0.234964                0.284755
51                          -265.403675          279.654707          0.207537                0.596989
52                          107.448549          -36.288643          0.146971                0.395944
53                          108.811518          93.492491          0.024092                0.764064
54                          -284.614157          -47.465427          0.525501                0.948366
55                          -145.929481          -27.032366          0.890356                0.592829
56                          214.692241          234.031348          0.968594                0.757471
57                          -185.891427          -76.773365          0.261479                0.404394
58                          323.171361          551.094127          0.156787                0.834014
