Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -402.798641          236.259591          0.767380                0.414201
1                          4.785032          -542.314076          0.874077                0.203059
2                          -422.369213          -280.340542          0.819703                0.616726
3                          391.278836          213.361338          0.533419                0.130744
4                          202.346400          -108.246512          0.129965                0.979081
5                          -186.065577          80.274250          0.061586                0.526577
6                          -101.918498          -313.710285          0.554353                0.844778
7                          -100.257829          -45.683016          0.039134                0.341677
8                          -351.419749          -292.925202          0.788397                0.126261
9                          -64.903527          -152.149594          0.934601                0.325357
10                          -75.729092          17.490093          0.852779                0.057621
11                          -161.067505          -306.665844          0.960877                0.200995
12                          110.245034          -29.191104          0.787849                0.168875
13                          181.327815          -56.436953          0.446247                0.233590
14                          -15.464546          -92.691744          0.405067                0.404027
15                          -115.791946          -2.918103          0.839322                0.117938
16                          388.399152          -14.416362          0.541044                0.746919
17                          -116.569072          194.999331          0.557525                0.437413
18                          -29.939631          209.532661          0.840730                0.595363
19                          -342.710954          -17.683914          0.152210                0.494786
20                          -61.030290          -28.271849          0.845398                0.695545
21                          -132.491829          37.280625          0.495871                0.773753
22                          239.040895          -390.212749          0.245815                0.298931
23                          -187.101157          52.753116          0.568034                0.060312
24                          -176.738862          35.293490          0.842430                0.187613
25                          -208.948849          -408.294319          0.509469                0.248915
26                          -75.124490          575.892608          0.905617                0.041139
27                          -428.928155          14.844963          0.317212                0.918468
28                          -216.373908          294.661398          0.692349                0.403606
29                          27.216934          280.244927          0.884171                0.253460
30                          -147.494165          104.552798          0.227978                0.396416
31                          -150.791674          -421.735785          0.837313                0.778927
32                          -40.926749          172.159007          0.663498                0.157901
33                          -109.416356          -111.797791          0.553672                0.253767
34                          -92.860358          -9.026870          0.115764                0.910080
35                          -147.815820          -197.032809          0.724270                0.154158
36                          -33.856444          -174.895884          0.473876                0.818433
37                          521.146341          108.501051          0.334088                0.037270
38                          -228.276571          54.120397          0.098465                0.988845
39                          235.271955          243.441840          0.944905                0.394526
40                          -94.890861          -123.777370          0.017522                0.094968
41                          -104.917933          102.351937          0.046862                0.025617
42                          41.987510          204.700489          0.143290                0.243406
43                          -247.531602          420.584625          0.762284                0.542191
44                          34.479665          139.092818          0.645387                0.983485
45                          -55.562771          -275.571491          0.591382                0.119018
46                          -34.972498          -23.292402          0.141517                0.723220
47                          -72.944787          380.051835          0.505079                0.072248
48                          373.287053          -261.856669          0.603911                0.862398
49                          -10.408478          -154.089849          0.210927                0.530941
50                          3.047973          -337.336530          0.778211                0.902647
51                          -10.039915          -351.546085          0.318872                0.277011
52                          -391.757278          -202.344692          0.394095                0.789468
53                          5.230436          55.722785          0.242701                0.348452
54                          75.330348          136.050753          0.768664                0.294252
55                          -89.335899          273.250084          0.847515                0.823062
56                          123.912349          216.949632          0.563331                0.344102
57                          100.080433          -108.308335          0.297337                0.238008
58                          373.616206          -237.720379          0.360149                0.078794
59                          -22.294819          79.909492          0.542318                0.240200
60                          -322.344261          261.743150          0.069390                0.177988
61                          -196.516954          456.918527          0.382674                0.026987
62                          210.889661          -394.146787          0.993903                0.024988
63                          326.621027          73.275673          0.207953                0.459356
64                          283.391941          61.935952          0.574703                0.090083
65                          480.044514          363.472103          0.292066                0.672033
66                          31.106682          -44.642833          0.777896                0.566508
67                          -280.043977          131.700818          0.325535                0.514265
68                          -118.127588          665.198481          0.561261                0.369120
69                          245.605452          -368.090799          0.281481                0.463829
70                          87.788420          215.260789          0.781492                0.376495
71                          45.510825          -479.815441          0.213412                0.778704
72                          73.002428          -378.142614          0.638676                0.228098
73                          -4.430293          -168.825920          0.243163                0.708856
74                          -116.257606          -36.618838          0.102130                0.023621
75                          -297.561395          -103.790036          0.727829                0.683436
76                          7.100356          -46.580759          0.120174                0.901541
77                          425.576182          -140.689117          0.893248                0.479066
78                          -67.604159          52.059430          0.083260                0.382316
79                          378.958431          111.762061          0.059011                0.539204
80                          9.670639          -351.277942          0.885851                0.926846
81                          519.665314          490.702187          0.097476                0.782083
82                          -77.570683          -110.423495          0.410714                0.396590
83                          21.051138          -146.482225          0.164013                0.660669
84                          -124.420366          -70.640088          0.904150                0.312090
85                          80.312862          582.062648          0.365553                0.554214
86                          26.457339          -44.989798          0.036236                0.966353
87                          317.040694          -32.699942          0.701420                0.557354
88                          -66.056056          -9.456013          0.071160                0.546417
89                          -109.532617          -364.881444          0.111786                0.908063
90                          -159.712144          -325.317312          0.633443                0.506896
91                          226.857742          149.074866          0.839956                0.361338
92                          10.737356          130.965539          0.470240                0.272761
93                          -133.798987          422.414704          0.836615                0.302637
94                          139.928670          -377.713603          0.723697                0.268250
95                          -113.865869          -109.167747          0.303085                0.531671
96                          -67.576763          -136.048693          0.268068                0.203475
97                          59.487426          151.366980          0.297541                0.583627
98                          117.967711          54.702796          0.816365                0.742500
99                          22.774252          -20.228693          0.733395                0.792623
100                          87.600764          259.856750          0.222514                0.240845
101                          -453.327776          -111.525362          0.378803                0.630301
102                          207.733004          -107.448255          0.494585                0.993860
103                          246.536546          148.089334          0.234321                0.575257
104                          43.764372          -111.243786          0.358764                0.908342
105                          -389.080319          348.667244          0.912752                0.669466
106                          124.325757          -82.170643          0.796677                0.161386
107                          -162.853795          -202.042701          0.682141                0.780933
