Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          162.311076          -10.463495          0.147028                0.443127
1                          -100.030771          -322.094235          0.848568                0.140984
2                          -32.400277          28.630083          0.388314                0.787874
3                          -322.580914          244.312240          0.558400                0.105346
4                          -133.865653          -273.075896          0.326244                0.651000
5                          -38.259056          26.997936          0.565981                0.930315
6                          421.067647          261.399632          0.825809                0.750188
7                          -180.988275          225.888716          0.197256                0.453203
8                          143.240471          -193.742917          0.524879                0.084978
9                          -180.677454          126.980086          0.314706                0.505559
10                          235.989185          192.140254          0.460249                0.611923
11                          22.989317          239.736096          0.461735                0.712890
12                          200.051233          -333.997803          0.473265                0.180706
13                          85.449081          -200.826106          0.607369                0.285270
14                          116.395940          -92.293270          0.867699                0.672475
15                          138.244019          190.930898          0.362649                0.172688
16                          124.003690          -85.336077          0.033203                0.579742
17                          -63.305997          276.740513          0.919697                0.153364
18                          61.717393          -39.223435          0.717242                0.296565
19                          -155.911815          10.661139          0.521726                0.405999
20                          0.971171          63.645383          0.717519                0.174022
21                          17.518691          133.251180          0.013197                0.434898
22                          -58.811426          74.780759          0.475257                0.817453
23                          -194.786431          -22.062578          0.593690                0.093085
24                          294.373754          -397.512898          0.006904                0.890344
25                          317.366065          -128.328650          0.567353                0.684878
26                          -288.990842          -312.914976          0.794876                0.614327
27                          114.397614          -500.931626          0.556494                0.522053
28                          114.179694          167.440397          0.471562                0.118232
29                          -302.848524          -209.356660          0.590363                0.191375
30                          -499.655291          473.787297          0.959123                0.392298
31                          65.206672          -297.187322          0.525929                0.093590
32                          -647.539906          306.572741          0.039994                0.146446
33                          127.875212          -218.013017          0.632963                0.161444
34                          -208.446064          -189.937817          0.084941                0.842544
35                          305.298553          -438.694574          0.357594                0.130641
36                          -8.525350          -295.900217          0.456969                0.458269
37                          112.329272          56.652034          0.467649                0.647372
38                          -152.818163          -173.153376          0.787785                0.242414
39                          78.647097          -232.414282          0.978578                0.227653
40                          15.132441          16.525553          0.804112                0.969480
41                          32.360950          424.740292          0.127319                0.785812
42                          -42.494878          77.747868          0.700471                0.076263
43                          121.160300          -258.487517          0.607104                0.745994
44                          92.294189          40.213936          0.853576                0.702817
45                          -39.254885          37.128917          0.096622                0.984703
46                          327.016466          221.760150          0.358645                0.856176
47                          5.584122          30.189461          0.320808                0.237320
48                          -226.392124          -495.550654          0.803161                0.504899
49                          -39.474517          96.620637          0.730961                0.325977
50                          109.166735          510.297130          0.508468                0.899866
51                          205.987066          -102.718373          0.857079                0.622438
52                          421.994720          -66.330871          0.892626                0.478045
53                          298.490391          -251.747513          0.531466                0.357808
54                          -7.793037          -106.680590          0.941041                0.304712
55                          -446.205351          139.618226          0.936901                0.300571
56                          101.277154          244.995738          0.602390                0.750439
57                          -507.985415          99.376651          0.852945                0.781603
58                          -408.995531          64.198112          0.397575                0.839207
59                          -99.951009          -186.563958          0.917065                0.778029
60                          54.503842          163.606346          0.213728                0.453356
61                          -69.823818          180.710967          0.517757                0.663126
62                          -28.737878          84.102691          0.881889                0.581447
63                          65.183126          -118.967375          0.734841                0.395448
64                          -137.730408          83.848593          0.550207                0.142891
65                          89.057237          -147.750502          0.566098                0.683695
66                          -147.123893          276.001241          0.186565                0.153727
67                          -114.087992          -453.245864          0.207817                0.359558
68                          -257.758209          -187.196102          0.256091                0.101908
69                          292.594091          91.446643          0.569207                0.378772
70                          52.014744          474.858279          0.679073                0.407809
71                          -241.235633          185.935676          0.485206                0.231722
72                          171.294312          -17.772172          0.240345                0.464899
73                          74.750302          425.007444          0.966612                0.949521
74                          -62.081044          356.083025          0.762554                0.396577
75                          251.436681          446.270674          0.080857                0.450151
76                          -56.962647          272.419920          0.597769                0.825977
77                          353.726046          78.524454          0.963012                0.841562
78                          287.627156          -338.222663          0.908507                0.642578
79                          213.373049          -46.406794          0.150834                0.563415
80                          59.423227          63.090554          0.475530                0.338353
81                          -258.114595          -87.463783          0.619180                0.626006
82                          -169.672245          141.269018          0.714025                0.393558
83                          7.784256          -183.009002          0.866848                0.985273
84                          154.910515          279.965062          0.342864                0.501048
85                          270.439829          155.374057          0.395583                0.492134
86                          -193.635609          304.171242          0.193249                0.944110
87                          33.079644          -29.294850          0.889411                0.315584
88                          -246.523222          -135.207826          0.188924                0.491962
89                          -137.666192          -273.360632          0.089225                0.946239
90                          135.263627          -83.735923          0.332457                0.456575
91                          1.394539          85.900006          0.089872                0.217170
92                          31.349143          575.366157          0.366540                0.861598
93                          -28.473209          -351.280880          0.133811                0.382055
94                          -171.020326          70.267891          0.695318                0.275816
95                          -5.116540          261.431298          0.865779                0.874492
96                          -141.596731          45.841009          0.659648                0.092285
97                          488.873766          -510.637520          0.694742                0.907291
98                          -66.129329          242.403902          0.207657                0.473742
99                          -246.063498          82.058907          0.240892                0.525330
100                          -105.494945          -253.482853          0.793743                0.051550
101                          742.137587          75.842399          0.119182                0.982094
102                          -235.551919          -22.792631          0.690435                0.422817
103                          -37.202772          -45.555647          0.443307                0.515496
104                          48.278483          -54.209367          0.683036                0.073063
105                          173.498733          287.668001          0.721413                0.644691
106                          -420.849883          18.661535          0.943384                0.150277
107                          -425.124250          -121.597153          0.751113                0.308658
108                          69.961878          465.339350          0.176393                0.972044
109                          93.940617          299.510425          0.506632                0.394258
110                          41.003986          -173.968642          0.480860                0.208537
111                          -436.342925          -96.532702          0.452813                0.659731
112                          -263.267060          13.124856          0.256168                0.110140
113                          -42.093124          -90.555836          0.163594                0.305557
114                          -323.399837          51.436616          0.049038                0.185259
115                          73.138035          96.661858          0.056233                0.881085
116                          -170.425663          -294.020069          0.261764                0.592440
117                          -371.735365          317.282944          0.991042                0.975566
118                          346.013043          51.128084          0.572303                0.376979
119                          -257.915886          110.621137          0.875994                0.395316
120                          98.896573          231.991328          0.904762                0.126356
121                          -84.915380          -221.811293          0.891768                0.109205
122                          186.845612          -237.601987          0.616829                0.330594
123                          167.136568          104.621004          0.135204                0.830875
124                          -98.877063          -118.246247          0.297975                0.409679
125                          78.871881          -499.734594          0.153174                0.002684
126                          -136.265906          -188.468555          0.874513                0.738429
127                          421.611610          174.119271          0.711814                0.396708
128                          -195.133830          49.883066          0.575100                0.198607
129                          -332.176752          22.042421          0.679605                0.266637
130                          141.844752          280.609058          0.310378                0.786445
131                          3.923159          100.786096          0.765724                0.384550
132                          -282.251520          -196.043802          0.092092                0.934053
