Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -106.765422          -395.240764          0.115225                0.941597
1                          -358.335465          294.338145          0.984365                0.511024
2                          224.513647          -274.358274          0.245534                0.041232
3                          -203.836504          456.567117          0.449490                0.017343
4                          -88.544330          -16.206948          0.365153                0.705672
5                          -322.701656          137.451285          0.414470                0.733732
6                          93.912561          22.691391          0.694385                0.590235
7                          -99.815303          -63.830151          0.231247                0.408856
8                          -182.888373          341.134884          0.667683                0.645028
9                          144.911609          130.078153          0.117923                0.671334
10                          -362.155079          181.377935          0.869025                0.570251
11                          157.364800          174.730567          0.319981                0.441069
12                          -179.014656          236.768251          0.987534                0.961839
13                          145.863416          -205.837154          0.222192                0.197451
14                          417.567638          -180.556770          0.765070                0.642280
15                          -308.510361          247.842514          0.712322                0.892745
16                          -71.551515          -304.092193          0.096791                0.852329
17                          47.715733          -216.580321          0.668299                0.971478
18                          -131.358140          75.934591          0.713535                0.329594
19                          -29.384964          -59.271269          0.434349                0.067711
20                          329.120509          -338.099538          0.224307                0.759707
21                          13.337553          9.911728          0.809352                0.446702
22                          -355.373810          104.100280          0.577478                0.140903
23                          -332.467185          179.764133          0.508846                0.505441
24                          290.271859          -382.385130          0.269337                0.480436
25                          -6.865825          -692.146042          0.252086                0.505113
26                          7.916161          141.233709          0.737018                0.765002
27                          -148.573318          444.896301          0.104406                0.337218
28                          176.244634          -104.869047          0.104400                0.153373
29                          147.948235          -456.042983          0.516866                0.623306
30                          213.345077          349.129028          0.815492                0.435786
31                          292.685369          -201.623872          0.112849                0.214698
32                          90.115950          -230.946423          0.591509                0.119049
33                          -36.633822          208.325057          0.763422                0.459893
34                          293.560621          629.900799          0.841912                0.627319
35                          -280.221771          52.059597          0.461363                0.216522
36                          132.031500          219.992089          0.429335                0.656023
37                          -158.199925          -116.211427          0.836356                0.536376
38                          -36.682492          -451.598256          0.076240                0.332418
39                          -173.507835          122.106858          0.416446                0.918299
40                          -14.229381          257.826823          0.809132                0.227087
41                          221.703766          -140.639161          0.584468                0.197227
42                          80.729153          421.690567          0.443925                0.019616
43                          -3.792350          -131.261718          0.668381                0.192624
44                          168.579643          -352.230338          0.071492                0.564841
45                          -2.650422          457.496348          0.268805                0.384832
46                          67.696683          361.738873          0.216810                0.744323
47                          167.713902          243.898786          0.345285                0.246256
48                          309.731750          -124.223325          0.533549                0.655858
49                          237.395006          178.523476          0.534821                0.811796
50                          -275.776340          -69.189254          0.100471                0.429164
51                          80.057706          -105.580896          0.911861                0.134742
52                          749.962198          279.676183          0.652982                0.889014
53                          116.407185          -211.442108          0.200561                0.797221
54                          452.987966          -3.163857          0.906768                0.588456
55                          138.769225          7.708457          0.593875                0.453653
56                          123.268911          107.249448          0.010726                0.893645
57                          -141.160348          -192.638562          0.838178                0.093407
58                          392.954399          58.189705          0.866945                0.582645
59                          -163.453067          -21.449972          0.956804                0.066054
60                          -299.947083          230.322803          0.583749                0.163821
61                          106.677244          -136.961833          0.003197                0.153575
62                          -140.959058          110.341959          0.534484                0.568471
63                          210.383235          -63.170798          0.819770                0.720227
64                          124.855920          323.798687          0.278378                0.561460
65                          417.838310          -322.830862          0.877630                0.593776
66                          67.432910          -217.056006          0.224500                0.182619
67                          247.292910          289.375792          0.583076                0.205007
68                          -592.360895          475.306107          0.795802                0.427217
69                          40.298100          141.283295          0.715554                0.868236
70                          90.997998          -172.709852          0.564108                0.825054
71                          -199.940438          83.013946          0.112748                0.025264
72                          -37.463621          264.453910          0.979211                0.107901
73                          -71.471583          100.555189          0.157329                0.929198
74                          -255.426495          -441.820683          0.998991                0.288151
75                          714.452585          -429.965339          0.872645                0.128591
76                          -196.077282          -247.174287          0.589072                0.754399
77                          -262.627132          -174.761843          0.308076                0.435395
78                          3.248426          -26.190469          0.912279                0.597762
79                          491.304198          -269.450520          0.579804                0.005978
80                          -118.165935          428.161860          0.228942                0.379854
81                          -214.228160          -0.889042          0.406511                0.408015
82                          145.116216          154.948456          0.801760                0.408547
83                          -5.436081          281.297750          0.066008                0.281100
84                          -206.528363          -33.574326          0.105349                0.338623
85                          147.481221          212.178891          0.583146                0.835219
86                          256.863932          -67.068388          0.972109                0.841827
87                          -321.133965          297.191141          0.063827                0.073977
88                          98.454933          -154.158272          0.428188                0.248285
89                          81.375211          27.692933          0.909646                0.282154
90                          445.497376          26.798313          0.530705                0.821565
91                          -10.977645          -64.962035          0.927592                0.092697
92                          659.937541          32.810602          0.047598                0.955282
93                          250.146949          59.808176          0.017633                0.265065
94                          48.445701          -158.604968          0.045364                0.863169
95                          394.753832          44.852991          0.715590                0.421420
96                          420.556341          -1.969021          0.899837                0.389309
97                          -66.496342          -293.761119          0.837046                0.424754
98                          24.262527          97.178260          0.124457                0.539478
99                          201.339979          -99.188634          0.581298                0.122848
100                          370.239439          372.024533          0.522641                0.276450
101                          -123.035624          126.978808          0.852397                0.863351
102                          -136.532010          -105.551084          0.479227                0.667539
103                          153.206739          261.215268          0.551570                0.089349
104                          316.723503          -192.987534          0.024766                0.400473
105                          106.530852          -32.744176          0.631537                0.451746
106                          57.219681          -499.828372          0.035285                0.608651
107                          -138.052718          572.894906          0.143037                0.961357
108                          -305.290621          -239.892677          0.204983                0.997079
109                          87.042827          -189.962568          0.080013                0.982614
110                          -50.560482          -305.454423          0.288322                0.877766
111                          122.855276          180.755631          0.249545                0.864045
112                          60.599910          95.491877          0.125712                0.636034
113                          68.078161          23.345139          0.591297                0.748780
114                          86.893676          58.405019          0.160829                0.461407
115                          -26.876199          -192.069484          0.994892                0.798061
116                          -402.143960          -250.925299          0.082625                0.727592
117                          -213.458708          -343.322186          0.329464                0.017036
118                          -163.698173          -163.851700          0.275746                0.617226
119                          296.153550          51.653059          0.012209                0.104727
120                          28.446851          -35.752799          0.793774                0.369168
121                          366.117766          -433.593003          0.064534                0.115736
122                          145.704130          311.317592          0.803920                0.940975
123                          26.305920          616.057375          0.205902                0.552434
124                          -189.945815          -275.444402          0.940922                0.259958
125                          45.441703          -278.820247          0.263034                0.030885
126                          -368.674694          356.753821          0.413449                0.751030
127                          127.995623          24.068541          0.021400                0.242734
128                          -469.978361          4.742825          0.978368                0.988296
129                          -37.496013          1.503386          0.334769                0.225737
130                          245.506409          -112.284679          0.556797                0.515500
131                          216.058336          -2.788726          0.330722                0.990484
132                          -267.042828          0.451194          0.968162                0.446423
