Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -153.399912          85.652372          0.832814                0.122690
1                          103.296098          -211.652377          0.762308                0.750047
2                          14.874104          393.113381          0.789451                0.595380
3                          152.190559          -401.253710          0.813772                0.763922
4                          256.731547          482.008679          0.089407                0.395532
5                          -164.860173          -160.666498          0.688977                0.226217
6                          -480.014292          -83.517322          0.671962                0.286636
7                          -177.515629          177.006179          0.146675                0.113055
8                          82.495314          165.858706          0.534400                0.945526
9                          82.408978          -511.691104          0.863616                0.352478
10                          238.970076          187.809975          0.390570                0.617621
11                          -267.215220          388.752211          0.444634                0.891826
12                          -138.615783          -115.275786          0.008131                0.998709
13                          195.871570          280.907773          0.104797                0.739049
14                          8.522096          -13.565127          0.322118                0.392224
15                          -434.568643          15.148367          0.586659                0.226035
16                          -125.615942          371.447454          0.364511                0.275654
17                          -557.388649          22.233255          0.655017                0.622978
18                          259.482627          -216.011125          0.951119                0.788290
19                          -12.031132          66.424934          0.926275                0.974760
20                          157.158358          -150.254198          0.266868                0.741188
21                          -306.636080          -27.972858          0.901807                0.133962
22                          -169.854811          -22.049434          0.780674                0.368358
23                          -151.501609          -14.633644          0.010957                0.725485
24                          419.268983          34.555981          0.764783                0.417427
25                          32.666687          185.620481          0.328704                0.486420
26                          414.239176          -158.098073          0.791218                0.914232
27                          76.694771          136.729628          0.851551                0.063748
28                          -14.557560          -38.253862          0.084125                0.033077
29                          -307.320160          603.325450          0.453079                0.409063
30                          -96.441678          -93.226718          0.427052                0.205472
31                          244.351717          144.730287          0.752118                0.136142
32                          94.456704          309.263134          0.522508                0.231398
33                          259.452473          305.022458          0.416097                0.879108
34                          183.802533          97.927309          0.326366                0.125255
35                          -161.692542          -3.752823          0.148049                0.553956
36                          310.851192          115.231170          0.644013                0.237425
37                          217.609902          629.270132          0.763018                0.511751
38                          -30.934828          273.819875          0.305309                0.233871
39                          79.522623          -422.173510          0.645993                0.490796
40                          -179.031117          -14.456240          0.334991                0.647216
41                          -498.745287          466.822942          0.642285                0.007165
42                          43.147640          -512.021671          0.556863                0.158764
43                          38.223189          104.630380          0.531123                0.153178
44                          -256.090391          -324.213888          0.113074                0.277514
45                          -114.802534          -1.953747          0.989494                0.579719
46                          -162.605307          -465.089083          0.769859                0.158788
47                          -158.337099          207.554374          0.531995                0.970283
48                          93.177108          -473.898922          0.510819                0.036281
49                          -186.497845          -231.509571          0.510440                0.143643
50                          208.911614          104.698628          0.668387                0.303271
51                          -9.844976          1.005333          0.295460                0.835679
52                          224.396432          -161.521406          0.546885                0.510034
53                          -204.785486          -63.785663          0.548914                0.686884
54                          391.013306          602.845555          0.146806                0.230622
55                          -208.174516          -159.568115          0.753693                0.336377
56                          108.883528          -92.892254          0.349752                0.000390
57                          -247.061666          300.956958          0.305033                0.942284
58                          289.256974          -431.577148          0.163771                0.632565
59                          -312.687393          139.885558          0.222512                0.755733
60                          -28.985409          -97.780490          0.565168                0.157228
61                          -250.403476          123.248115          0.054511                0.060107
62                          -128.480868          -122.400238          0.404672                0.599279
63                          324.004943          192.362845          0.555782                0.434263
64                          309.055225          47.450657          0.898731                0.843845
65                          61.799488          -159.901886          0.760577                0.130007
66                          215.908993          98.319313          0.224354                0.579792
67                          362.612327          -28.818090          0.123780                0.859378
68                          7.954405          -354.874226          0.932152                0.085721
69                          -275.844354          605.310098          0.626094                0.439681
70                          9.817377          125.297965          0.075837                0.588724
71                          18.788470          -103.143047          0.432414                0.765746
72                          -628.724092          112.470776          0.346486                0.796825
73                          -724.722110          179.688398          0.793154                0.165582
74                          1.584926          206.972868          0.119182                0.277444
75                          -190.709058          142.573144          0.968581                0.046012
76                          -27.353755          -189.088552          0.477996                0.915519
77                          132.627788          5.432602          0.643251                0.884796
78                          -32.050262          -459.951123          0.671162                0.160224
79                          -119.585663          162.579447          0.355105                0.509522
80                          220.982372          117.536572          0.275127                0.652581
81                          -179.555997          430.404914          0.166801                0.376219
82                          -162.274121          142.508078          0.883538                0.851670
83                          -216.768691          155.205119          0.201456                0.479746
84                          176.622669          16.131735          0.183684                0.024385
85                          -218.629401          54.399552          0.157318                0.271020
86                          -46.867408          687.351298          0.574818                0.263345
87                          526.733002          104.905152          0.854581                0.812699
88                          288.125810          28.804143          0.528812                0.022000
89                          -122.720950          150.212428          0.039745                0.124757
90                          -602.650907          -85.265192          0.637654                0.293346
91                          -425.275011          -316.692986          0.772976                0.616096
92                          -185.565381          -37.431244          0.600496                0.583084
93                          -137.731509          345.447446          0.566715                0.540882
94                          -68.074757          -42.345577          0.051720                0.039886
95                          258.253086          -68.635683          0.842211                0.179949
96                          318.915325          223.014381          0.655614                0.932482
97                          -5.365173          136.797183          0.930376                0.319734
98                          -255.905251          -392.249947          0.943454                0.675924
99                          356.082890          -148.400944          0.599472                0.198412
100                          21.554414          -380.299279          0.487197                0.391138
101                          265.774146          446.817472          0.826359                0.420576
102                          17.395321          185.933540          0.811974                0.711062
103                          180.687885          -357.665431          0.274329                0.279737
104                          249.023177          78.149017          0.549684                0.896101
105                          -272.430980          -100.330933          0.304358                0.637920
106                          -422.495866          85.547152          0.761011                0.854919
107                          -71.113754          -97.794729          0.214710                0.775580
108                          -2.557361          372.463687          0.287402                0.747304
109                          300.672503          226.546735          0.557626                0.856526
110                          143.129388          35.363574          0.391733                0.787562
111                          235.985213          411.075576          0.547337                0.254908
112                          -98.966133          229.167672          0.249207                0.696587
113                          -128.736641          -64.532716          0.288930                0.583600
114                          -404.452030          -296.065272          0.935938                0.729610
115                          -172.198802          -260.293223          0.610932                0.119470
116                          61.826676          336.744286          0.874202                0.659456
117                          535.115384          24.254994          0.378479                0.222418
118                          168.902806          86.504951          0.997335                0.733379
119                          -154.409462          48.226493          0.508854                0.876029
120                          51.218409          454.143390          0.959987                0.363471
121                          294.493748          263.260968          0.546685                0.777911
122                          -242.398124          288.965665          0.996650                0.523858
