Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -215.960759          -237.219427          0.538330                0.219514
1                          -269.367786          187.250137          0.083280                0.128977
2                          -91.056772          54.763032          0.240323                0.304018
3                          167.642115          28.781697          0.979197                0.876690
4                          153.656854          386.307470          0.897796                0.291660
5                          249.960917          450.411863          0.233848                0.622387
6                          50.876631          141.092088          0.642624                0.582468
7                          -252.110218          -40.995459          0.993587                0.378380
8                          -210.772859          112.099376          0.189874                0.730223
9                          -291.764973          -470.314935          0.644343                0.010557
10                          -108.538877          414.275904          0.804424                0.479982
11                          132.886590          193.862033          0.303382                0.611502
12                          -335.140663          24.984786          0.917768                0.747460
13                          204.129445          -4.351688          0.007926                0.579202
14                          -163.129504          7.614998          0.293558                0.350450
15                          -260.627618          -173.802934          0.002709                0.932031
16                          -39.781190          -37.496124          0.120191                0.861818
17                          217.626091          -137.720561          0.151818                0.736249
18                          -240.466204          228.208103          0.748225                0.937843
19                          85.065725          -124.385390          0.649117                0.364866
20                          -85.345487          145.273030          0.162274                0.619064
21                          292.949505          -381.694391          0.442525                0.935362
22                          288.853468          185.687431          0.601012                0.170701
23                          -151.680960          72.430214          0.748280                0.191924
24                          -31.464342          93.407206          0.806664                0.907547
25                          545.502511          -33.929167          0.438718                0.143127
26                          280.245649          435.280684          0.774020                0.481556
27                          144.683066          114.969945          0.683180                0.056577
28                          -144.196978          -60.024749          0.003852                0.179644
29                          -83.092242          91.528231          0.811182                0.559884
30                          -184.903319          -237.265299          0.732617                0.898392
31                          264.582089          219.892212          0.020179                0.011990
32                          232.183660          61.892412          0.287903                0.088820
33                          -272.081861          379.370657          0.076120                0.986626
34                          0.147675          -141.903667          0.451523                0.163136
35                          -139.432035          -86.831485          0.836182                0.755623
36                          -146.723124          -346.722333          0.154321                0.760542
37                          203.182278          -8.166449          0.368841                0.174110
38                          386.790106          456.785097          0.813554                0.661730
39                          206.310390          287.851487          0.112653                0.930030
40                          -25.876617          -211.783156          0.670242                0.905123
41                          -10.518374          226.570721          0.040461                0.787450
42                          63.658158          9.824001          0.670611                0.356141
43                          217.261044          -231.546375          0.285230                0.487671
44                          -21.394574          -406.538893          0.454460                0.778289
45                          149.850838          11.698237          0.793933                0.954650
46                          -186.867418          -209.704527          0.233276                0.501779
47                          -271.180406          -331.914955          0.606880                0.301109
48                          -237.806766          266.506848          0.841382                0.876222
49                          -165.645463          -246.679080          0.324778                0.298338
50                          -260.492196          38.442299          0.010448                0.226690
51                          -302.198060          163.856557          0.758816                0.074877
52                          -163.661533          -95.927555          0.806817                0.972748
53                          77.930025          134.577823          0.397574                0.968714
54                          -204.481613          -223.991741          0.980553                0.026364
55                          -501.733979          -57.163579          0.622481                0.414871
56                          8.042896          240.806557          0.342719                0.099314
57                          214.935835          134.219090          0.725434                0.819652
58                          -547.386424          47.237986          0.928089                0.524958
59                          21.538752          -66.712756          0.934359                0.032569
60                          -310.975328          -32.449791          0.729368                0.015062
61                          442.163409          -55.789845          0.098336                0.142616
62                          56.438090          -75.268363          0.367249                0.782797
63                          43.897846          -89.893027          0.412630                0.964650
64                          -85.722026          233.334534          0.851385                0.215203
65                          -18.584064          52.977943          0.068973                0.963407
66                          -245.449531          -194.805030          0.085332                0.207579
67                          41.421362          -134.653750          0.569349                0.253423
68                          -437.196560          320.058437          0.888194                0.686491
69                          149.072987          351.446730          0.541122                0.214704
70                          -421.187558          -35.473372          0.819324                0.543043
71                          -31.336975          -271.006770          0.213400                0.963725
72                          441.748391          -80.589452          0.995961                0.869578
73                          56.342457          322.577230          0.435516                0.606533
74                          -12.255468          416.078239          0.753479                0.832531
75                          -159.804517          12.968408          0.514854                0.128735
76                          545.125166          -458.312150          0.752245                0.285513
77                          278.683050          369.092805          0.193116                0.432531
78                          -280.589335          -290.316318          0.687780                0.349470
79                          -304.664119          -130.266549          0.738255                0.511758
80                          -306.404689          190.199842          0.046810                0.139131
81                          8.955960          350.277656          0.548815                0.026312
82                          -264.599538          -176.240440          0.558024                0.531300
83                          330.777972          173.844964          0.578559                0.851932
84                          -285.613678          156.594394          0.293681                0.537764
85                          109.757406          421.297375          0.174787                0.351704
86                          432.788575          190.658704          0.174865                0.040934
87                          -313.045483          -135.298996          0.310097                0.431264
88                          211.124684          57.360088          0.160778                0.510151
89                          244.166337          78.392500          0.075227                0.409474
90                          48.058181          477.548451          0.813083                0.153923
