Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -65.869283          38.924579          0.671879                0.904133
1                          -64.047320          -38.943481          0.149040                0.768062
2                          -47.502908          104.275194          0.404927                0.444246
3                          110.744606          126.345029          0.698735                0.437047
4                          -3.858018          44.532224          0.296453                0.552829
5                          174.981181          -105.214449          0.875664                0.980400
6                          -100.892867          -76.210701          0.125765                0.060241
7                          117.138576          10.411483          0.979155                0.232919
8                          143.806604          -423.333247          0.209228                0.235050
9                          12.821501          -297.599244          0.595640                0.275807
10                          41.399511          161.543280          0.888741                0.151858
11                          469.747606          -114.260130          0.447317                0.241541
12                          132.759025          -25.498769          0.162112                0.937262
13                          457.594560          -18.006248          0.520466                0.910573
14                          327.570078          -178.670235          0.201171                0.524050
15                          -591.385531          58.091061          0.316962                0.723417
16                          155.066230          94.687272          0.763852                0.221651
17                          -172.875246          -123.461483          0.848688                0.811906
18                          -721.266483          66.070939          0.434432                0.330885
19                          -178.492707          -496.120274          0.099965                0.046174
20                          424.207397          208.880635          0.466632                0.722531
21                          61.575804          250.911663          0.237542                0.888687
22                          -271.509976          98.812352          0.568987                0.262181
23                          -166.994373          34.828686          0.255624                0.289865
24                          119.248524          114.547875          0.912067                0.757013
25                          316.077173          -195.318193          0.419710                0.444805
26                          -50.843621          -4.166379          0.515944                0.336972
27                          6.136439          -167.834378          0.746489                0.369000
28                          295.504566          -88.983176          0.036882                0.023347
29                          180.825949          300.555742          0.352672                0.797308
30                          357.353290          131.781519          0.702791                0.569967
31                          255.714496          31.557361          0.082985                0.426592
32                          306.535929          255.679438          0.843417                0.419106
33                          132.189123          49.967245          0.091281                0.186653
34                          237.273449          162.401073          0.342997                0.227158
35                          -94.689257          193.334200          0.512690                0.754570
36                          58.735423          -321.555329          0.077062                0.446924
37                          -131.737483          -389.553407          0.685241                0.502303
38                          -175.941883          2.727475          0.627891                0.868882
39                          101.473818          -372.954010          0.642356                0.915109
40                          38.117108          332.146230          0.573781                0.567890
41                          -89.143031          241.150111          0.729395                0.544496
42                          -182.966683          29.190724          0.016488                0.995538
43                          -148.790747          270.027157          0.720988                0.730359
44                          278.931333          36.514151          0.279839                0.557746
45                          -29.567150          -120.979656          0.907148                0.455529
46                          316.827954          313.695908          0.155410                0.442954
47                          -271.421804          -334.863144          0.490916                0.427559
48                          -294.122594          13.342971          0.505962                0.027364
49                          -80.382391          161.354395          0.383659                0.428792
50                          -363.385192          125.749865          0.570705                0.457959
51                          66.407165          128.613222          0.600193                0.101314
52                          103.907825          -101.561028          0.110689                0.213262
53                          -180.778891          13.694499          0.052775                0.163731
54                          209.439589          -197.896167          0.101326                0.862875
55                          -446.205351          139.618226          0.833853                0.197382
56                          -78.787427          -123.914236          0.187676                0.891066
57                          -421.533359          -18.617693          0.205344                0.001674
58                          -487.030873          189.769178          0.249077                0.750911
59                          -74.597184          54.907167          0.027193                0.987501
60                          17.955454          -192.442538          0.276422                0.444950
61                          -69.823818          180.710967          0.570205                0.174988
62                          48.840071          20.346736          0.162112                0.508814
63                          -108.402137          117.891378          0.849311                0.478096
64                          -175.346433          -92.233956          0.356811                0.749814
65                          -444.257615          680.199454          0.189736                0.227370
66                          74.496105          53.068209          0.262930                0.773002
67                          99.381763          480.428999          0.730439                0.557629
68                          280.210794          483.558554          0.931808                0.486073
69                          -252.551813          285.587820          0.789353                0.282126
70                          397.079179          -258.181395          0.414026                0.194572
71                          103.541341          -158.088680          0.089130                0.468386
72                          182.254221          -176.652188          0.375473                0.330870
73                          251.754298          -57.423625          0.237170                0.017578
74                          328.005919          337.493763          0.854767                0.603247
75                          404.900148          399.252865          0.639725                0.953109
76                          -70.982226          127.480388          0.978984                0.414431
77                          266.415499          -219.994004          0.551871                0.851419
78                          -156.157664          294.469877          0.670022                0.912276
79                          180.483620          -10.211987          0.277716                0.024542
80                          -209.834596          169.804817          0.166341                0.432094
81                          363.788209          226.940081          0.661527                0.054075
82                          -493.262260          331.893020          0.053922                0.892041
83                          21.718249          344.655869          0.470792                0.786168
84                          22.927697          208.006876          0.598026                0.840937
85                          400.438511          472.873350          0.975088                0.081148
86                          226.337530          -60.202119          0.829324                0.001726
87                          -133.389549          -17.670030          0.460824                0.199866
88                          142.269123          -33.665841          0.001114                0.741908
89                          -674.498904          305.542085          0.975311                0.109141
90                          -46.743349          4.766927          0.581042                0.458499
91                          -169.855169          -125.870261          0.715244                0.526143
92                          -240.922309          24.882704          0.586348                0.103123
93                          -313.501262          -229.709924          0.874555                0.903890
94                          -135.671626          -14.615505          0.795360                0.579762
95                          99.260510          113.932022          0.279274                0.498140
96                          406.062277          -891.346986          0.506190                0.298031
97                          279.119106          51.606031          0.362643                0.422679
98                          -91.176195          -629.188935          0.664940                0.045241
99                          90.851707          217.520764          0.992580                0.179271
100                          329.615868          446.925281          0.618444                0.312110
101                          48.581109          445.639755          0.012751                0.111790
102                          -244.925710          -438.325558          0.340433                0.500501
103                          171.411261          418.499627          0.443153                0.568302
104                          412.265615          -222.682193          0.189346                0.724922
105                          -415.745326          -50.146110          0.001691                0.619031
106                          -144.657121          -212.914615          0.916585                0.232901
107                          270.183404          -280.524645          0.564575                0.290456
108                          394.996654          302.690929          0.047169                0.136586
109                          47.131581          114.138783          0.628761                0.512928
110                          92.542577          -212.182299          0.201696                0.673592
111                          -293.037878          -235.112476          0.132293                0.973207
112                          -164.561058          136.775846          0.955628                0.674985
113                          -166.940143          -116.479992          0.543380                0.188010
114                          -462.183186          29.865311          0.386656                0.997082
115                          -215.351947          -457.931656          0.200696                0.835992
116                          -11.040324          62.529722          0.228560                0.988334
117                          378.377219          -513.781631          0.355426                0.172412
118                          -546.010926          132.562420          0.609187                0.187685
119                          114.708951          213.189440          0.883401                0.468018
120                          -218.342285          -37.317637          0.082689                0.637519
121                          47.200920          -429.398140          0.850696                0.773214
122                          -184.111760          -120.064028          0.733164                0.382758
123                          -40.646320          167.428319          0.985890                0.745441
124                          352.374081          -316.871212          0.954162                0.163593
125                          66.812862          -386.321503          0.600955                0.159459
126                          301.294388          -448.449305          0.086621                0.679603
127                          -115.185871          25.665595          0.775436                0.370945
128                          -149.312041          299.529542          0.158018                0.643123
129                          -499.142026          -75.777371          0.216703                0.665955
130                          323.112996          -477.551276          0.944019                0.324184
131                          -254.815174          -275.311332          0.704377                0.230487
132                          346.433642          21.632884          0.508064                0.703116
133                          167.030599          -18.984332          0.105216                0.020429
134                          -144.165809          -49.295557          0.860864                0.558843
135                          -113.842639          156.630090          0.373698                0.044196
136                          -177.551117          -165.257702          0.353953                0.240043
137                          -91.187574          -240.772123          0.709242                0.824542
138                          -227.032264          -300.139548          0.859688                0.647923
139                          228.009890          188.874967          0.091744                0.174310
140                          142.951930          -569.611849          0.414934                0.859619
141                          -51.856655          -12.344638          0.496476                0.468200
142                          196.095001          -186.920457          0.293582                0.984088
143                          162.414654          -47.665655          0.390338                0.099637
144                          22.276106          360.907567          0.522144                0.400589
