Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -103.773246          407.952952          0.291959                0.365733
1                          -17.784595          337.252249          0.781644                0.245039
2                          101.379863          -163.342469          0.986357                0.614789
3                          -46.106764          -202.135967          0.088064                0.983946
4                          300.100837          -61.506150          0.067350                0.679275
5                          -46.068813          -239.375585          0.401705                0.399365
6                          -267.251883          358.169758          0.660953                0.397442
7                          -733.283841          190.669751          0.169573                0.244674
8                          -254.792903          -114.056135          0.323735                0.576566
9                          78.956412          48.212202          0.056649                0.601919
10                          464.693784          411.579696          0.228886                0.940307
11                          -119.784007          209.308346          0.982466                0.977568
12                          407.836828          -306.967560          0.180178                0.132702
13                          229.417325          -115.657943          0.746493                0.997473
14                          268.342774          -38.401577          0.595440                0.479437
15                          -5.782833          -37.452145          0.066288                0.191960
16                          -109.543550          -364.288784          0.333830                0.855700
17                          202.014318          135.087648          0.078068                0.640397
18                          -311.163195          -251.181755          0.406426                0.306085
19                          -54.509394          -220.156544          0.010171                0.367498
20                          227.272478          -61.746909          0.468013                0.620371
21                          -451.673175          43.786907          0.568593                0.460651
22                          -482.915414          505.346034          0.423355                0.557679
23                          355.913682          284.585400          0.230808                0.196769
24                          346.423074          -316.122699          0.959491                0.579227
25                          314.421406          -38.481266          0.627601                0.908622
26                          434.470812          -32.490127          0.636765                0.491343
27                          -189.722674          233.187860          0.151359                0.123247
28                          324.473860          166.561276          0.103936                0.866782
29                          -171.224124          66.659909          0.466597                0.282408
30                          316.452261          473.792259          0.906927                0.266421
31                          -198.924792          -43.401021          0.884523                0.622226
32                          159.298629          -481.313346          0.851499                0.111122
33                          -78.571611          -125.020943          0.543738                0.586092
34                          40.724649          -42.363471          0.984155                0.055177
35                          -99.914354          -262.808489          0.711095                0.353022
36                          239.844611          -350.062222          0.336938                0.918555
37                          217.066479          107.530040          0.743866                0.808136
38                          68.150440          -268.665370          0.126240                0.358610
39                          -84.350005          -102.734912          0.539284                0.298596
40                          -157.743557          -83.649262          0.023868                0.008596
41                          211.330874          -13.113092          0.420169                0.114495
42                          30.233920          -346.028933          0.811171                0.123490
43                          -412.400617          -570.923998          0.018185                0.280201
44                          127.184796          199.756181          0.133311                0.223708
45                          157.106022          203.104468          0.960271                0.125464
46                          22.138453          -207.117773          0.040057                0.518533
47                          -166.688470          -54.738384          0.960122                0.721062
48                          -191.642853          243.521018          0.831851                0.581489
49                          -139.176101          325.909494          0.283496                0.671914
50                          77.768857          -22.652391          0.103751                0.969551
51                          -425.740602          100.309221          0.775641                0.511756
52                          542.637554          -34.426806          0.345111                0.360726
53                          32.227204          -24.821805          0.120196                0.880951
54                          35.056106          -52.278795          0.943932                0.246948
55                          163.715081          247.984546          0.109727                0.513716
56                          -99.604078          92.631742          0.391064                0.503626
57                          101.608279          -201.253854          0.763012                0.120752
58                          -223.778102          -20.342557          0.524460                0.242401
59                          -239.358342          -166.082875          0.852410                0.411744
60                          -31.051536          5.227688          0.537174                0.239313
61                          186.135065          14.038895          0.441492                0.869003
62                          -324.055546          -15.778397          0.095009                0.136926
63                          349.800029          17.372800          0.202665                0.801400
64                          49.722619          -70.993117          0.359326                0.945204
65                          520.841251          -179.442516          0.653645                0.641315
66                          -330.340841          2.742121          0.807354                0.555586
