Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -411.464889          130.366148          0.739619                0.524956
1                          -92.923153          261.866339          0.590522                0.311357
2                          296.045905          373.640100          0.500752                0.997235
3                          -577.572173          -263.365859          0.481666                0.432326
4                          -244.414581          -163.891965          0.881450                0.408479
5                          -177.650615          -189.117989          0.888199                0.702328
6                          54.812058          -58.428838          0.357425                0.682515
7                          422.606748          206.969571          0.977673                0.051305
8                          -151.411048          8.984408          0.903244                0.280656
9                          86.003092          -837.362541          0.104769                0.410687
10                          152.345478          -380.671378          0.231942                0.193493
11                          -112.474333          -338.946004          0.532540                0.174581
12                          -197.514359          287.447423          0.006887                0.498336
13                          -20.940636          88.170428          0.180057                0.600419
14                          22.807252          -193.006842          0.193310                0.338865
15                          -48.703213          121.216437          0.364754                0.006879
16                          -352.237752          140.489367          0.642505                0.173729
17                          94.761453          147.671010          0.207813                0.312414
18                          48.321949          -413.635073          0.865393                0.353647
19                          282.717090          208.321712          0.085258                0.801475
20                          222.635839          223.834899          0.905290                0.860900
21                          -340.934074          308.271833          0.994117                0.587333
22                          484.476915          -337.624425          0.096580                0.452648
23                          106.038344          -44.898833          0.857533                0.475968
24                          -27.015389          -252.855954          0.751513                0.447861
25                          307.504470          -486.980863          0.731958                0.662009
26                          69.943272          -476.763689          0.524807                0.107712
27                          -5.482200          124.033520          0.391003                0.985384
28                          146.082602          -61.441804          0.585435                0.220644
29                          -188.787718          1.573068          0.984843                0.167819
30                          79.768318          266.770175          0.691705                0.641832
31                          66.104772          342.285085          0.070842                0.425172
32                          -15.032809          -170.712331          0.442620                0.048406
33                          114.784511          59.418847          0.902098                0.058829
34                          -204.034177          -14.253175          0.455906                0.641577
35                          -298.437641          40.663773          0.687879                0.670976
36                          234.936729          -138.321161          0.613621                0.267525
37                          480.500729          -191.066147          0.282808                0.144085
38                          612.357965          -407.271080          0.874161                0.200631
39                          -90.295049          -268.240955          0.672691                0.868390
40                          -363.441939          492.235502          0.589336                0.913424
41                          12.012773          -87.723264          0.239505                0.808826
42                          278.541679          27.133112          0.226407                0.523009
43                          -275.577507          -34.039589          0.197543                0.025855
44                          -219.713834          33.847290          0.516204                0.582091
45                          91.877077          213.049602          0.607748                0.913827
46                          293.079455          103.491211          0.294754                0.757935
47                          179.441492          -274.891034          0.957825                0.784468
48                          -80.253118          -221.235266          0.417895                0.044478
49                          95.822511          -5.243102          0.690255                0.034579
50                          -14.036728          -308.250761          0.895165                0.500988
51                          -299.737265          645.296834          0.230044                0.060472
52                          -209.863731          449.985817          0.754664                0.622123
53                          241.543955          -297.037043          0.138111                0.210235
54                          -320.319758          106.136201          0.639547                0.958264
55                          11.648422          39.627712          0.464500                0.573288
56                          283.174389          -214.542406          0.359497                0.116646
57                          220.063070          229.827415          0.620567                0.782287
58                          134.922735          279.792883          0.378155                0.763356
59                          -68.174068          -358.264709          0.817807                0.867419
60                          -27.082461          -22.738310          0.539700                0.292941
61                          -618.019675          -130.758358          0.483308                0.150922
62                          315.273881          -70.755081          0.945123                0.459890
63                          500.955108          244.173133          0.485582                0.695074
64                          -527.649707          -201.259826          0.472456                0.956220
65                          -60.733117          -188.955796          0.507936                0.456331
66                          -398.966700          81.563007          0.701166                0.542179
67                          654.189442          133.028294          0.496169                0.316785
68                          173.700084          254.506238          0.017216                0.844214
69                          -167.008603          -32.337391          0.623081                0.196287
70                          37.009024          211.519186          0.808480                0.674173
71                          -59.376122          -375.952303          0.344920                0.015014
72                          -339.027797          -405.648399          0.728612                0.996269
73                          -66.071609          380.771005          0.320855                0.012859
74                          57.321902          -713.490925          0.072320                0.341987
75                          62.227737          24.124559          0.049460                0.970182
76                          352.631849          320.568495          0.326141                0.949965
77                          -69.042653          241.345033          0.319958                0.908274
78                          -246.067178          -55.686583          0.025088                0.782643
79                          137.530533          108.747951          0.431346                0.523616
80                          234.698514          -34.774246          0.952624                0.118527
81                          -471.580880          -229.623567          0.990366                0.483521
82                          -767.014374          -65.973572          0.958359                0.714866
83                          -146.507985          121.024583          0.140662                0.303524
84                          -43.407478          -93.553062          0.641281                0.199297
85                          -207.032774          -412.508678          0.763451                0.025787
86                          92.801430          0.700460          0.260368                0.256007
87                          -56.574830          -81.491574          0.417052                0.385931
88                          111.186502          -97.099391          0.829634                0.685950
89                          -412.455850          182.764488          0.002714                0.094434
90                          318.037662          235.327000          0.381214                0.830463
91                          201.362719          -318.996538          0.126324                0.352785
92                          -191.444000          -43.338951          0.417366                0.214376
93                          159.924220          83.596687          0.401111                0.000262
94                          127.061381          -59.451130          0.554521                0.069437
95                          79.409758          -144.733948          0.751960                0.605361
96                          -86.193473          223.683665          0.828856                0.412719
97                          209.534450          331.018722          0.122655                0.404423
98                          157.223670          155.576007          0.357947                0.378544
99                          -145.158029          181.331002          0.150068                0.839931
100                          -91.142624          285.322800          0.351197                0.735466
101                          35.323181          15.895122          0.185732                0.055980
102                          -252.087235          -255.191208          0.381384                0.302667
103                          -8.790354          230.761631          0.425909                0.350043
104                          -172.687577          -170.119234          0.328847                0.634683
105                          56.774123          -183.403724          0.376901                0.122001
106                          150.741150          140.549565          0.933270                0.930872
107                          201.905533          -57.081592          0.175897                0.809406
