Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -339.202395          164.519157          0.248682                0.866366
1                          -239.152521          -9.799909          0.970679                0.151779
2                          201.580174          275.380393          0.471603                0.430987
3                          366.821737          347.701126          0.946621                0.757819
4                          205.973688          46.477442          0.494953                0.813669
5                          -347.506322          328.496617          0.035990                0.807377
6                          152.122396          87.501644          0.341009                0.284375
7                          704.757464          -200.329397          0.025868                0.616741
8                          -205.827417          370.255733          0.422734                0.575788
9                          -36.590325          -74.855550          0.103712                0.275949
10                          -56.165168          -117.095006          0.087512                0.582643
11                          182.887655          -223.098459          0.742577                0.673145
12                          145.346939          47.392735          0.775873                0.072320
13                          -50.807105          -131.629660          0.919189                0.019687
14                          -335.824551          -352.931423          0.264970                0.936173
15                          -238.584686          -466.236458          0.502882                0.375706
16                          389.434559          -203.267442          0.812394                0.848484
17                          265.766068          1.919733          0.185658                0.600702
18                          -476.071930          -17.640601          0.426921                0.448674
19                          225.177398          116.175418          0.341124                0.155562
20                          182.874989          -289.433472          0.513729                0.304782
21                          -239.494684          252.978626          0.402493                0.535655
22                          -386.846805          -46.549353          0.929104                0.552540
23                          313.316251          -160.506815          0.760103                0.027770
24                          -88.412566          39.747953          0.941195                0.036346
25                          203.176481          66.958834          0.260862                0.618039
26                          -75.029934          575.513942          0.896101                0.652515
27                          9.096016          -562.822959          0.035739                0.196458
28                          -252.759583          44.970902          0.244994                0.419354
29                          108.629056          93.650642          0.897891                0.299003
30                          -6.447033          -813.680079          0.311628                0.761651
31                          -218.603999          -107.226232          0.329482                0.149252
32                          386.654792          381.719095          0.253671                0.378657
33                          77.345031          411.731451          0.808044                0.412951
34                          -227.613473          98.475526          0.112369                0.445629
35                          -102.459355          -60.901283          0.535796                0.487830
36                          141.823122          127.267721          0.932864                0.862167
37                          -228.838838          555.870497          0.075928                0.103282
38                          -53.515928          345.608239          0.293094                0.741898
39                          -122.168334          -410.339054          0.964630                0.915716
40                          -311.912556          301.342049          0.429109                0.062489
41                          41.798826          -96.787822          0.745641                0.931842
