Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          56.416232          215.777704          0.708579                0.858449
1                          -215.854805          -458.872826          0.051491                0.799396
2                          135.558750          -230.572781          0.537459                0.166574
3                          122.861894          -340.233552          0.959208                0.702433
4                          287.361100          61.263169          0.261771                0.903747
5                          247.687672          -5.332179          0.035440                0.599294
6                          -483.993234          145.833803          0.987996                0.358692
7                          10.469925          104.907035          0.632456                0.213589
8                          188.763705          114.194607          0.049530                0.030627
9                          123.369797          322.747062          0.244695                0.644129
10                          -325.790237          413.547615          0.108664                0.499332
11                          -51.292113          -200.823784          0.407421                0.135037
12                          243.320165          584.210684          0.090503                0.330870
13                          87.463869          -215.165582          0.519411                0.122893
14                          288.607845          -20.782975          0.517799                0.855856
15                          159.513571          -384.376514          0.160343                0.038364
16                          -12.541207          -376.661752          0.719539                0.223323
17                          270.216734          210.848287          0.055974                0.217781
18                          -325.137297          -180.093603          0.532682                0.021421
19                          -52.598874          -516.188672          0.806198                0.188753
20                          227.272478          -61.746909          0.912299                0.673158
21                          132.160331          9.638206          0.103484                0.529726
22                          -612.754247          350.796135          0.692942                0.418634
23                          -167.425690          230.660701          0.300887                0.914973
24                          50.557466          205.073416          0.839026                0.711146
25                          -421.665898          321.252596          0.543823                0.120390
26                          11.941268          -35.372469          0.763604                0.664059
27                          -399.876701          -156.364823          0.977312                0.056561
28                          -75.540428          123.239690          0.422091                0.290628
29                          -91.528608          106.142660          0.451716                0.911158
30                          -41.605660          442.843054          0.960992                0.465060
31                          270.481821          361.700857          0.047182                0.861819
32                          140.100160          -135.330081          0.042393                0.339548
33                          -78.571611          -125.020943          0.155865                0.742435
34                          151.353176          -273.541530          0.388749                0.237268
35                          44.579205          86.209227          0.307629                0.879089
36                          54.737476          316.327871          0.044711                0.094334
37                          217.066479          107.530040          0.527453                0.233281
38                          32.270438          -1.268523          0.129950                0.911528
39                          262.433713          -82.620055          0.089814                0.685235
40                          -157.743557          -83.649262          0.268080                0.789531
41                          -1.839639          494.417544          0.196189                0.260710
42                          -497.237727          546.680111          0.888316                0.415088
43                          -33.874977          -400.861323          0.048970                0.854321
44                          -425.223892          117.675989          0.516667                0.677640
45                          217.369748          16.769541          0.827854                0.871810
46                          466.179639          -50.896482          0.048878                0.203520
47                          176.918942          -341.081217          0.982116                0.095812
48                          539.265093          55.458492          0.240249                0.570259
