Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -168.900640          168.133846          0.493427                0.783927
1                          -49.794350          68.293828          0.631963                0.860753
2                          -192.717005          -94.490411          0.133372                0.210761
3                          252.678974          544.028761          0.705975                0.649287
4                          -38.445524          -38.028184          0.668048                0.474440
5                          -169.836415          -100.870962          0.149696                0.057001
6                          -244.088738          24.036312          0.825351                0.740172
7                          204.636798          598.993895          0.292913                0.090395
8                          39.470712          450.302649          0.892971                0.976042
9                          -136.552550          36.342713          0.856539                0.991821
10                          -271.269219          -66.823026          0.060378                0.644544
11                          -194.160813          -284.288471          0.151396                0.743190
12                          52.791287          -476.132238          0.886008                0.447658
13                          -72.241559          -138.770665          0.412501                0.861477
14                          128.118699          59.874189          0.943397                0.962176
15                          -52.710426          350.266488          0.448590                0.387021
16                          -377.935584          -136.996725          0.626829                0.296682
17                          -199.271113          75.928985          0.669049                0.472203
18                          167.280057          91.955694          0.096343                0.732363
19                          83.143332          -17.353277          0.175122                0.135762
20                          499.015790          -6.582672          0.318450                0.013920
21                          114.178537          67.958571          0.952649                0.296022
22                          -3.769819          -72.173827          0.264715                0.611792
23                          -414.874549          74.447818          0.081564                0.202867
24                          128.963296          -453.167226          0.304612                0.683674
25                          -106.310334          -80.183317          0.415755                0.625485
26                          -476.011348          415.197071          0.693952                0.930815
27                          -369.584045          -85.583586          0.117739                0.667245
28                          -145.889418          -42.967501          0.138097                0.948272
29                          364.533208          -4.235314          0.825399                0.665447
30                          -298.446566          53.589161          0.623190                0.137522
31                          -237.021986          130.316407          0.873635                0.800368
32                          -31.917135          138.625686          0.238978                0.744642
33                          40.410628          -46.551874          0.843380                0.339215
34                          294.024491          -10.330348          0.620133                0.717634
35                          12.044237          -51.885721          0.267013                0.417987
36                          -124.680357          -58.308907          0.826112                0.263095
37                          436.583982          184.049687          0.012715                0.290788
38                          212.731594          -209.422027          0.840122                0.514767
39                          126.134131          80.998437          0.485879                0.014608
40                          -0.295756          -110.577954          0.722053                0.053722
41                          271.048371          55.430838          0.264921                0.087328
42                          36.414842          -232.561476          0.459658                0.007629
43                          -244.434609          -46.836710          0.618182                0.548617
44                          -262.094067          -172.689851          0.817138                0.410260
45                          -227.023338          -80.159130          0.591246                0.674030
46                          208.788561          193.814992          0.117384                0.020709
47                          -150.878593          -124.592898          0.406130                0.777883
48                          -229.818123          150.457388          0.526915                0.635845
49                          180.712154          -13.002968          0.571044                0.537928
50                          55.342653          -405.847610          0.000076                0.046455
51                          -133.953355          -141.077478          0.540152                0.406193
52                          277.554457          593.982267          0.038102                0.366535
53                          501.423841          431.433671          0.113618                0.311536
54                          -0.082504          59.141079          0.294851                0.031020
55                          129.261928          -184.825986          0.772340                0.897169
56                          265.037429          152.496515          0.336051                0.326906
57                          -503.947983          -364.416823          0.759690                0.178121
58                          202.289794          130.301805          0.290574                0.045814
59                          -148.312635          112.426178          0.374656                0.584980
60                          -163.477118          58.749008          0.657758                0.383396
61                          375.065225          129.469893          0.665453                0.483502
62                          129.461662          74.443086          0.149074                0.805526
63                          272.065182          212.259465          0.529661                0.257033
64                          -284.313959          437.188660          0.023336                0.764398
65                          -420.332594          -243.570419          0.012238                0.952037
66                          62.913894          -26.322307          0.406087                0.251703
67                          -181.433060          127.767857          0.030904                0.664563
68                          370.505760          -74.609576          0.214889                0.337661
69                          -147.056499          -98.404161          0.833524                0.669201
