Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -627.772396          -160.735003          0.992731                0.964548
1                          -261.787970          -330.860770          0.962724                0.056312
2                          -422.369213          -280.340542          0.337434                0.252629
3                          55.385341          -141.101173          0.872633                0.181766
4                          329.391699          147.857530          0.957905                0.246493
5                          -52.636939          67.227307          0.752290                0.368659
6                          85.233105          111.182107          0.847826                0.156214
7                          497.708291          -154.153344          0.997296                0.130054
8                          -135.807174          -239.300237          0.288037                0.801911
9                          -332.127568          196.799829          0.791492                0.454341
10                          -324.451371          130.010430          0.724566                0.715691
11                          33.071408          -48.712803          0.799324                0.145231
12                          178.268187          205.165256          0.206559                0.201661
13                          201.811940          -183.245751          0.484124                0.091890
14                          -15.464546          -92.691744          0.936617                0.590040
15                          30.755426          -10.124330          0.579310                0.905507
16                          121.772350          -178.362142          0.494899                0.100886
17                          -258.084583          -5.037792          0.029739                0.046991
18                          57.361581          -105.719575          0.783954                0.432882
19                          231.323640          -47.825314          0.227074                0.172276
20                          -61.030290          -28.271849          0.943139                0.667308
21                          115.298850          326.676937          0.088208                0.466091
22                          408.566111          288.248120          0.539857                0.743393
23                          -187.101157          52.753116          0.999099                0.247075
24                          -242.524081          -207.792595          0.392084                0.726966
25                          -230.986493          235.272545          0.935833                0.642582
26                          -231.568617          243.357371          0.585891                0.967235
27                          -135.930715          43.102545          0.343327                0.902547
28                          -97.986993          -63.533230          0.000879                0.337930
29                          27.216934          280.244927          0.948667                0.620844
30                          107.248305          107.105356          0.452132                0.956310
31                          -59.115939          68.647131          0.983161                0.736612
32                          423.900968          -56.391018          0.290156                0.088858
33                          -333.551477          -148.846679          0.598218                0.639278
34                          -117.796310          -527.583616          0.939788                0.249960
35                          -122.001045          -168.211913          0.539744                0.929161
36                          -119.189648          256.043198          0.849428                0.660050
37                          505.029600          -4.412545          0.866166                0.425447
38                          -86.761060          254.157520          0.479331                0.816492
39                          268.354121          -110.659961          0.189194                0.942928
40                          -316.903288          15.116652          0.154816                0.801615
41                          253.238566          315.866996          0.825340                0.963042
42                          -52.727730          231.210933          0.621407                0.669644
43                          34.767771          -334.593832          0.498392                0.851584
44                          -320.337566          182.718284          0.392134                0.255270
45                          93.584869          -6.995054          0.805560                0.551417
46                          -175.404778          86.323095          0.302249                0.708810
47                          -7.694130          370.406417          0.320847                0.241908
48                          -509.457071          -372.814359          0.605620                0.176950
49                          35.009710          -339.013926          0.933899                0.215827
50                          26.088733          -226.686360          0.507623                0.865120
51                          197.119804          169.659628          0.329368                0.486645
52                          -118.824550          22.391396          0.563169                0.293127
53                          323.282036          68.797970          0.069445                0.045327
54                          257.947332          -72.606693          0.939787                0.692575
55                          -119.666326          -440.483052          0.482168                0.702570
56                          -242.217925          -113.740916          0.147541                0.812235
57                          -109.189110          -39.604231          0.362525                0.800325
58                          30.112694          161.310612          0.142692                0.678314
59                          -340.288731          -19.983535          0.603661                0.504835
60                          -249.211480          271.239079          0.637222                0.259006
