Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -153.399912          85.652372          0.798426                0.883211
1                          -0.222418          -173.663665          0.026166                0.715649
2                          183.077824          -332.360892          0.237006                0.192874
3                          -332.553662          -331.252760          0.286803                0.848335
4                          376.140861          358.397929          0.770321                0.613780
5                          89.790379          -10.070420          0.948163                0.053980
6                          22.152569          -214.656968          0.320390                0.458981
7                          89.648627          -405.388360          0.146717                0.488871
8                          73.612504          -22.085527          0.238914                0.959439
9                          31.820712          -118.645844          0.294580                0.064097
10                          65.529783          233.731104          0.993256                0.255172
11                          146.514671          294.611588          0.209394                0.174757
12                          49.274620          91.931625          0.027777                0.472735
13                          233.684994          45.517364          0.729040                0.396389
14                          -76.099761          193.172509          0.208032                0.743429
15                          -434.813767          201.236046          0.837785                0.018411
16                          -453.744345          147.118690          0.385684                0.917548
17                          -190.011391          -197.665933          0.912794                0.646979
18                          172.814700          111.599558          0.070216                0.623990
19                          326.152402          68.239797          0.066850                0.859074
20                          -9.847400          -108.548986          0.937569                0.776560
21                          -129.613659          -9.715904          0.969435                0.511715
22                          83.331896          -494.461475          0.851050                0.396110
23                          -293.609423          -24.747875          0.025619                0.993295
24                          -49.817928          342.157061          0.789646                0.836036
25                          -638.869530          166.467310          0.738034                0.758447
26                          31.757248          -26.325144          0.169017                0.173722
27                          -230.348951          -18.331829          0.108571                0.132710
28                          -286.398942          297.454319          0.198033                0.816225
29                          76.085098          302.228452          0.597409                0.264576
30                          193.157689          16.211897          0.925567                0.666075
31                          -5.358452          344.518410          0.594165                0.187819
32                          -44.658340          220.538569          0.173432                0.753397
33                          -65.516396          59.352262          0.318901                0.973655
34                          -77.672105          -91.092100          0.413832                0.156618
35                          47.328213          293.320532          0.339297                0.694071
36                          -25.597376          -193.023334          0.078813                0.070207
37                          0.964667          40.268782          0.767930                0.127114
38                          -266.598472          -102.161431          0.346883                0.856538
39                          -328.032388          194.567019          0.491451                0.526376
40                          -23.656839          -373.287920          0.781504                0.669135
41                          399.404825          3.925679          0.128145                0.680845
42                          141.748917          242.106743          0.877996                0.617189
43                          -35.598237          150.601313          0.176717                0.437955
44                          111.509261          -378.565349          0.895558                0.753778
45                          107.245313          -611.372585          0.978171                0.434817
46                          387.389546          434.505706          0.494665                0.149893
47                          174.050694          312.785316          0.446450                0.835690
48                          356.368130          -117.649962          0.437968                0.204280
49                          532.353590          163.283374          0.638282                0.826611
50                          -86.002196          239.171790          0.975521                0.672329
51                          -13.107682          308.729215          0.355857                0.277448
52                          -252.898930          -493.514934          0.199205                0.196913
53                          98.442021          455.954453          0.185847                0.738987
54                          193.838614          -144.114513          0.117545                0.710010
55                          -200.542057          1.878406          0.372142                0.301319
56                          -7.096885          313.114470          0.535828                0.411604
57                          298.620502          -102.944368          0.037301                0.968786
58                          -263.386647          502.850093          0.564442                0.628677
59                          -255.798657          -88.357575          0.883296                0.909703
60                          -50.840289          105.043404          0.768085                0.844493
61                          -178.675414          231.736266          0.168732                0.977281
62                          197.821756          141.170153          0.928306                0.179901
63                          7.484926          -18.013086          0.452056                0.133573
64                          -97.695778          -326.343944          0.690810                0.920332
65                          -223.083187          -41.143941          0.530709                0.842514
66                          142.540910          348.460972          0.322042                0.073944
67                          -112.077004          -203.490856          0.120009                0.799075
68                          179.077116          -50.781894          0.868067                0.348201
69                          212.949670          -327.307536          0.916691                0.905083
70                          -459.518543          346.286974          0.972124                0.094788
71                          -183.170253          55.788628          0.946480                0.460880
72                          43.624973          -34.504314          0.023508                0.896343
73                          137.858808          -80.707418          0.191671                0.333360
74                          -48.534092          93.792797          0.221235                0.941840
75                          252.242097          -62.595327          0.945997                0.233255
76                          -49.661725          485.601315          0.535654                0.694881
77                          347.067424          -64.060210          0.498522                0.169635
