Particle_Number_idendity     vx(m/s)           vy(m/s)          position_x(m)       position_y(m) 
0                          -324.176849          248.107442          0.273565                0.178718
1                          534.663791          279.050242          0.961585                0.067503
2                          -427.917680          133.368831          0.520238                0.719640
3                          -48.517995          -136.021224          0.322901                0.984921
4                          197.697026          90.465868          0.756257                0.708868
5                          -406.891937          -549.584675          0.463133                0.707511
6                          205.066095          -34.181111          0.447262                0.126484
7                          201.571411          -116.149948          0.460304                0.036266
8                          -342.614540          -17.909024          0.482044                0.537368
9                          -39.855237          1.140513          0.616574                0.447329
10                          -131.803447          -336.467585          0.725941                0.447709
11                          -161.067505          -306.665844          0.058286                0.770624
12                          -165.920946          -267.603637          0.628296                0.153748
13                          -22.225688          -547.738561          0.519806                0.782459
14                          106.587875          -195.549529          0.907586                0.418759
15                          -115.791946          -2.918103          0.033737                0.047234
16                          -30.821413          -51.270855          0.062839                0.173904
17                          35.119448          -31.651164          0.717981                0.839461
18                          25.471977          55.261540          0.176896                0.716679
19                          105.146496          131.317995          0.624417                0.989865
20                          -61.030290          -28.271849          0.366662                0.010531
21                          20.384680          -404.899943          0.922363                0.943028
22                          232.519754          19.858993          0.504737                0.337515
23                          -416.574553          -92.977192          0.940110                0.295785
24                          -27.040109          500.427285          0.465915                0.603451
25                          234.921141          -250.038009          0.877934                0.779529
26                          -281.008823          114.143248          0.032025                0.787646
27                          -428.928155          14.844963          0.924482                0.278155
28                          -279.749292          -79.683163          0.702725                0.487968
29                          27.216934          280.244927          0.543625                0.043664
30                          72.841907          -108.637098          0.860616                0.808439
31                          -22.983065          253.733443          0.002715                0.201889
32                          -35.378281          -241.550366          0.737517                0.433798
33                          32.048334          -471.662534          0.699686                0.517202
34                          -396.845601          127.817311          0.440024                0.233536
35                          -147.815820          -197.032809          0.142762                0.380145
36                          -340.350480          230.974256          0.745449                0.728736
37                          -89.960596          -225.835533          0.949272                0.761529
38                          168.668066          -90.048667          0.269603                0.150717
39                          469.113030          -179.494642          0.916004                0.760400
40                          -7.492095          -288.618359          0.669819                0.906403
41                          -104.917933          102.351937          0.504749                0.505557
42                          64.225423          1.037725          0.649320                0.727587
43                          -247.531602          420.584625          0.764708                0.732761
44                          -139.650454          217.990217          0.725368                0.304176
45                          -133.300426          -79.123072          0.737519                0.066936
46                          128.812055          349.076499          0.124096                0.039587
47                          -101.844387          -371.636221          0.688807                0.010049
48                          190.913117          247.088651          0.056316                0.279730
49                          -403.234784          -151.128389          0.713608                0.158593
50                          -192.397990          -72.050870          0.860897                0.074482
51                          -10.039915          -351.546085          0.075610                0.759212
52                          337.989478          101.020119          0.102094                0.283775
53                          345.634735          141.969478          0.406126                0.905121
54                          344.131196          -514.358847          0.256502                0.583816
55                          -313.736767          -337.667583          0.671389                0.689878
56                          152.809006          36.964892          0.319844                0.760034
57                          315.626824          220.444131          0.138088                0.946400
58                          -14.029750          6.658863          0.056933                0.374589
59                          -292.602171          -78.183342          0.815330                0.639773
60                          -220.816472          568.470016          0.373887                0.707639
61                          184.383700          -162.436613          0.691807                0.674487
62                          210.889661          -394.146787          0.103662                0.474995
63                          -87.261919          -194.353207          0.065193                0.767825
64                          300.360038          -13.667694          0.632381                0.738743
65                          81.889921          -98.886758          0.417831                0.603499
66                          31.106682          -44.642833          0.531596                0.484833
67                          -427.084342          417.193290          0.452238                0.574814
68                          -172.433041          245.568823          0.745107                0.940401
69                          -154.290650          -480.169204          0.029009                0.629403
70                          -397.056191          -2.475745          0.807961                0.735468
71                          45.510825          -479.815441          0.316118                0.152999
72                          -220.607726          -17.128936          0.594964                0.524071
73                          -66.727292          -28.439296          0.821493                0.380898
74                          -366.370959          95.773278          0.145666                0.646231
75                          277.291869          228.027102          0.407890                0.579179
76                          163.282287          -195.606300          0.106597                0.382860
77                          58.624328          -76.476558          0.159715                0.465665
78                          352.412949          126.206967          0.194560                0.028055
79                          182.157758          -404.602953          0.948780                0.216297
80                          -22.963813          -20.449005          0.201062                0.169171
81                          -195.915310          44.072310          0.258788                0.481301
82                          -77.570683          -110.423495          0.531213                0.721080
83                          372.298451          -504.368254          0.589483                0.822739
84                          241.031081          -333.354271          0.067214                0.159507
85                          446.565295          386.917264          0.609837                0.323694
86                          438.637491          68.802656          0.625608                0.966303
87                          317.040694          -32.699942          0.383169                0.765050
88                          -138.708130          211.377887          0.724501                0.328375
89                          277.437713          -313.970860          0.911131                0.266925
90                          -159.712144          -325.317312          0.763692                0.624608
91                          361.066630          -402.532760          0.182829                0.301266
92                          -212.194878          -481.996433          0.465844                0.995641
93                          -8.063834          -84.258517          0.533570                0.466008
94                          366.199901          -416.561786          0.831558                0.306491
95                          -113.865869          -109.167747          0.544168                0.886587
96                          107.085373          -56.858508          0.412118                0.269981
